step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full,seed,method,config_fingerprint
0,conv1,1.2647554858999743,1.0090075546981128,1.2761478401189565,0.8902776564850003,3.117477293787133,2.7754203792580094,160,160,1.4340032911026814e-15,2.0716260450182974e-12,1.2647554858999743,0.8902776564850003,1.2761478401189565,2.7754203792580094,160,2.0716260450182974e-12,,,,,,,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,conv2,0.7060500914257654,2.660017431334592,1.878105550587918,0.5853215884521662,2.2669681985148777,1.3269054269252738,512,512,2.631590883710698e-13,1.0875697040931537e-09,0.7060500914257654,0.5853215884521662,1.878105550587918,1.3269054269252738,512,1.0875697040931537e-09,,,,,,,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc1,1.3412815500412876,8.677166754498447,11.638523674440407,0.7300571839908049,1.941218298218679,1.4172003643089512,512,512,1.2455922971113472e-10,3.955369827795533e-06,1.3412815500412876,0.7300571839908049,11.638523674440407,1.4172003643089512,512,3.955369827795533e-06,,,,,,,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc2,0.5179632453750737,9.734194479933374,5.041954963938418,0.9698683796557735,2.5726592705286095,2.495140878113987,512,512,9.613749656889174e-14,7.521276552473242e-09,0.5179632453750737,0.9698683796557735,5.041954963938418,2.495140878113987,512,7.521276552473242e-09,,,,,,,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv1,0.9378344212110518,1.691220569859973,1.5860848642748528,0.9231740264652246,3.118806346729072,2.879201012875175,160,160,1.4888056541300532e-14,1.9417850549842223e-11,0.9378344212110518,0.9231740264652246,1.5860848642748528,2.879201012875175,160,1.9417850549842223e-11,0.9372255033179929,0.9230461071993384,1.585055049808756,2.87880205745686,160,1.9421384022196368e-11,-0.0010298144660969566,-0.00039895541831480585,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv2,0.7014997850448537,2.7613640580220506,1.9370962931330533,0.5753050101559418,2.239969453056944,1.2886656489399244,512,512,6.918148126701526e-13,3.305458105111303e-09,0.7014997850448537,0.5753050101559418,1.9370962931330533,1.2886656489399244,512,3.305458105111303e-09,0.7119700298667783,0.5783422186941332,1.9660084508630074,1.2954689032880369,512,3.4662347736235485e-09,0.028912157729954036,0.006803254348112464,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc1,0.9927663305663089,8.828003854178434,8.764144992537956,0.7230409478692058,1.932606628016836,1.3973537281796027,512,512,1.6403463998056585e-10,5.354086927479722e-06,0.9927663305663089,0.7230409478692058,8.764144992537956,1.3973537281796027,512,5.354086927479722e-06,0.8075924264151992,0.7469265608490402,7.129429052998692,1.4435152221386756,512,6.9567413484509556e-06,-1.634715939539264,0.046161493959072875,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc2,0.700283423546782,6.3288281444712,4.43197344004952,0.9593748929699817,2.723867040690024,2.6132096506264526,512,512,1.3194081470634493e-13,2.2140536703471564e-08,0.700283423546782,0.9593748929699817,4.43197344004952,2.6132096506264526,512,2.2140536703471564e-08,0.66422892526693,0.9777959727248928,4.203790716601204,2.6633862226247773,512,2.800276268099779e-08,-0.2281827234483158,0.050176571998324704,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv1,0.9235240529741443,2.1307729595495415,1.967820079570905,0.9279541241059878,3.28196853685281,3.0455162389586596,160,160,7.726146083749703e-14,9.757211761288082e-11,0.9235240529741443,0.9279541241059878,1.967820079570905,3.0455162389586596,160,9.757211761288082e-11,0.9241570055827449,0.928227459458337,1.9691687578739876,3.0464133169850793,160,9.753286280616746e-11,0.0013486783030824956,0.0008970780264196954,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv2,0.7179680094971991,2.9281810598350138,2.1023403269771435,0.6079152972441206,2.268756030736534,1.3792114967995914,512,512,2.5595792510573402e-12,1.0425262980988471e-08,0.7179680094971991,0.6079152972441206,2.1023403269771435,1.3792114967995914,512,1.0425262980988471e-08,0.7305382584598541,0.6164968662464388,2.139148291907001,1.3986809832267826,512,1.2259722316721586e-08,0.036807964929857384,0.01946948642719115,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
