step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full,seed,method,config_fingerprint
0,conv1,1.0,1.0090075546981128,1.0090075546981128,1.0,3.117477293787133,3.117477293787133,160,160,1.4340032911026814e-15,1.4340032911026814e-15,1.0,1.0,1.0090075546981128,3.117477293787133,160,1.4340032911026814e-15,,,,,,,,,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,conv2,1.0,2.660017431334592,2.660017431334592,1.0,2.2669681985148777,2.2669681985148777,512,512,2.631590883710698e-13,2.631590883710698e-13,1.0,1.0,2.660017431334592,2.2669681985148777,512,2.631590883710698e-13,,,,,,,,,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc1,1.0,8.677166754498447,8.677166754498447,1.0,1.941218298218679,1.941218298218679,512,512,1.2455922971113472e-10,1.2455922971113472e-10,1.0,1.0,8.677166754498447,1.941218298218679,512,1.2455922971113472e-10,,,,,,,,,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc2,1.0,9.734194479933374,9.734194479933374,1.0,2.5726592705286095,2.5726592705286095,512,512,9.613749656889174e-14,9.613749656889174e-14,1.0,1.0,9.734194479933374,2.5726592705286095,512,9.613749656889174e-14,,,,,,,,,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv1,1.0,1.703237857391818,1.703237857391818,1.0,3.219461902857528,3.219461902857528,160,160,1.942109589820473e-14,1.942109589820473e-14,1.0,1.0,1.703237857391818,3.219461902857528,160,1.942109589820473e-14,1.0,1.0,1.703237857391818,3.219461902857528,160,1.942109589820473e-14,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv2,1.0,2.773339223346386,2.773339223346386,1.0,2.287690292337187,2.287690292337187,512,512,5.818142930026478e-13,5.818142930026478e-13,1.0,1.0,2.773339223346386,2.287690292337187,512,5.818142930026478e-13,1.0,1.0,2.773339223346386,2.287690292337187,512,5.818142930026478e-13,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc1,1.0,9.128963369504817,9.128963369504817,1.0,2.149687018498584,2.149687018498584,512,512,3.679626831882327e-10,3.679626831882327e-10,1.0,1.0,9.128963369504817,2.149687018498584,512,3.679626831882327e-10,1.0,1.0,9.128963369504817,2.149687018498584,512,3.679626831882327e-10,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc2,1.0,8.952130442432802,8.952130442432802,1.0,2.992577791359971,2.992577791359971,512,512,3.636888957499553e-13,3.636888957499553e-13,1.0,1.0,8.952130442432802,2.992577791359971,512,3.636888957499553e-13,1.0,1.0,8.952130442432802,2.992577791359971,512,3.636888957499553e-13,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv1,1.0,2.050478952641385,2.050478952641385,1.0,3.400009623127057,3.400009623127057,160,160,4.7419083798265196e-14,4.7419083798265196e-14,1.0,1.0,2.050478952641385,3.400009623127057,160,4.7419083798265196e-14,1.0,1.0,2.050478952641385,3.400009623127057,160,4.7419083798265196e-14,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv2,1.0,2.9249508663922206,2.9249508663922206,1.0,3.005500452083854,3.005500452083854,512,512,8.97046976541202e-13,8.97046976541202e-13,1.0,1.0,2.9249508663922206,3.005500452083854,512,8.97046976541202e-13,1.0,1.0,2.9249508663922206,3.005500452083854,512,8.97046976541202e-13,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,fc1,1.0,9.619803031926288,9.619803031926288,1.0,3.0236899564336053,3.0236899564336053,512,512,1.3192003456945533e-09,1.3192003456945533e-09,1.0,1.0,9.619803031926288,3.0236899564336053,512,1.3192003456945533e-09,1.0,1.0,9.619803031926288,3.0236899564336053,512,1.3192003456945533e-09,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,fc2,1.0,11.174883957891586,11.174883957891586,1.0,4.164436672196855,4.164436672196855,512,512,2.354590348532691e-12,2.354590348532691e-12,1.0,1.0,11.174883957891586,4.164436672196855,512,2.354590348532691e-12,1.0,1.0,11.174883957891586,4.164436672196855,512,2.354590348532691e-12,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,conv1,1.0,2.148900568958525,2.148900568958525,1.0,3.5288981012035348,3.5288981012035348,160,160,4.440389926521486e-14,4.440389926521486e-14,1.0,1.0,2.148900568958525,3.5288981012035348,160,4.440389926521486e-14,1.0,1.0,2.148900568958525,3.5288981012035348,160,4.440389926521486e-14,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,conv2,1.0,2.9804244607230523,2.9804244607230523,1.0,5.539282253467966,5.539282253467966,512,512,1.4530336524361386e-12,1.4530336524361386e-12,1.0,1.0,2.9804244607230523,5.539282253467966,512,1.4530336524361386e-12,1.0,1.0,2.9804244607230523,5.539282253467966,512,1.4530336524361386e-12,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,fc1,1.0,9.91838396611405,9.91838396611405,1.0,5.623072875570638,5.623072875570638,512,512,3.0669572776556442e-09,3.0669572776556442e-09,1.0,1.0,9.91838396611405,5.623072875570638,512,3.0669572776556442e-09,1.0,1.0,9.91838396611405,5.623072875570638,512,3.0669572776556442e-09,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,fc2,1.0,11.643301351265256,11.643301351265256,1.0,6.830802364927946,6.830802364927946,512,512,7.105054586270116e-12,7.105054586270116e-12,1.0,1.0,11.643301351265256,6.830802364927946,512,7.105054586270116e-12,1.0,1.0,11.643301351265256,6.830802364927946,512,7.105054586270116e-12,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,conv1,1.0,2.1584203500172308,2.1584203500172308,1.0,3.801248766575892,3.801248766575892,160,160,3.527933115389098e-14,3.527933115389098e-14,1.0,1.0,2.1584203500172308,3.801248766575892,160,3.527933115389098e-14,1.0,1.0,2.1584203500172308,3.801248766575892,160,3.527933115389098e-14,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,conv2,1.0,3.00669049521173,3.00669049521173,1.0,7.0001415081066884,7.0001415081066884,512,512,1.8778648819197437e-12,1.8778648819197437e-12,1.0,1.0,3.00669049521173,7.0001415081066884,512,1.8778648819197437e-12,1.0,1.0,3.00669049521173,7.0001415081066884,512,1.8778648819197437e-12,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,fc1,1.0,10.057242333809372,10.057242333809372,1.0,6.939076870283332,6.939076870283332,508,508,5.035260428888022e-09,5.035260428888022e-09,1.0,1.0,10.057242333809372,6.939076870283332,508,5.035260428888022e-09,1.0,1.0,10.057242333809372,6.939076870283332,508,5.035260428888022e-09,0.0,0.0,42,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
