method,metric,mean,std,n,mean_pm_std
dp_sgd,G_diag,1.0,0.0,3,1 ± 0
dp_sgd,G_diag_new,1.0,0.0,3,1 ± 0
dp_sgd,G_diag_old,1.0,0.0,3,1 ± 0
dp_sgd,G_full,1.0,0.0,3,1 ± 0
dp_sgd,G_full_new,1.0,0.0,3,1 ± 0
dp_sgd,G_full_old,1.0,0.0,3,1 ± 0
dp_sgd,best_accuracy,0.8971666666666667,0.0038109491381194674,3,0.897167 ± 0.00381095
dp_sgd,core_wall_time,92.98950054310262,1.7554720350182735,3,92.9895 ± 1.75547
dp_sgd,diagnostic_seconds,43.118639952503145,0.49825800386707153,3,43.1186 ± 0.498258
dp_sgd,final_accuracy,0.8971666666666667,0.0038109491381194674,3,0.897167 ± 0.00381095
dp_sgd,final_test_loss,0.47818482813835145,0.017573403266764768,3,0.478185 ± 0.0175734
dp_sgd,late_aggregate_cosine,0.6270529726871797,0.007886894857400767,3,0.627053 ± 0.00788689
dp_sgd,late_aggregate_cosine_iqr,0.24290474371604645,0.002261822845686943,3,0.242905 ± 0.00226182
dp_sgd,late_aggregate_cosine_q25,0.4903182203718461,0.002656408295575654,3,0.490318 ± 0.00265641
dp_sgd,late_aggregate_cosine_q75,0.7332229640878923,0.0014055560120568497,3,0.733223 ± 0.00140556
dp_sgd,late_coefficient_cv,0.6549778851534965,0.016959861631149892,3,0.654978 ± 0.0169599
dp_sgd,late_coefficient_cv_iqr,0.09136860777280476,0.007770851695525913,3,0.0913686 ± 0.00777085
dp_sgd,late_coefficient_cv_q25,0.6132532389450331,0.012545264799813723,3,0.613253 ± 0.0125453
dp_sgd,late_coefficient_cv_q75,0.7046218467178379,0.019827663593970913,3,0.704622 ± 0.0198277
dp_sgd,late_mean_accuracy,0.8857285714285714,0.0039640990947064835,3,0.885729 ± 0.0039641
dp_sgd,late_norm_cv,2.1532126608888738,0.044580775950680454,3,2.15321 ± 0.0445808
dp_sgd,late_norm_cv_iqr,0.2875941706201591,0.008573325348060141,3,0.287594 ± 0.00857333
dp_sgd,late_norm_cv_q25,2.0107094569654027,0.047962346998782754,3,2.01071 ± 0.0479623
dp_sgd,late_norm_cv_q75,2.2983036275855615,0.04309581862853864,3,2.2983 ± 0.0430958
dp_sgd,late_shape_error,0.778932854650909,0.006329528635590098,3,0.778933 ± 0.00632953
dp_sgd,late_shape_error_iqr,0.19155372985503769,0.001471225483191558,3,0.191554 ± 0.00147123
dp_sgd,late_shape_error_q25,0.6799862019265932,0.0015164333093334109,3,0.679986 ± 0.00151643
dp_sgd,late_shape_error_q75,0.8715399317816309,0.0014928305894881435,3,0.87154 ± 0.00149283
dp_sgd,late_snr,0.02275391676500017,0.00046205355671185357,3,0.0227539 ± 0.000462054
dp_sgd,late_snr_iqr,0.0071759440174432336,0.00018828693627814187,3,0.00717594 ± 0.000188287
