pair,metric,seed,delta,mean,std,n
syn_diag - dp_sgd,G_diag,42,,,,
syn_diag - dp_sgd,G_diag,all,,,,0
syn_diag - dp_sgd,G_diag_new,42,,,,
syn_diag - dp_sgd,G_diag_new,all,,,,0
syn_diag - dp_sgd,G_diag_old,42,,,,
syn_diag - dp_sgd,G_diag_old,all,,,,0
syn_diag - dp_sgd,G_full,42,,,,
syn_diag - dp_sgd,G_full,all,,,,0
syn_diag - dp_sgd,G_full_new,42,,,,
syn_diag - dp_sgd,G_full_new,all,,,,0
syn_diag - dp_sgd,G_full_old,42,,,,
syn_diag - dp_sgd,G_full_old,all,,,,0
syn_diag - dp_sgd,best_accuracy,42,0.0,,,
syn_diag - dp_sgd,best_accuracy,all,,0.0,,1
syn_diag - dp_sgd,core_wall_time,42,-0.16580885089933872,,,
syn_diag - dp_sgd,core_wall_time,all,,-0.16580885089933872,,1
syn_diag - dp_sgd,diagnostic_seconds,42,0.5360832018777728,,,
syn_diag - dp_sgd,diagnostic_seconds,all,,0.5360832018777728,,1
syn_diag - dp_sgd,final_accuracy,42,0.0,,,
syn_diag - dp_sgd,final_accuracy,all,,0.0,,1
syn_diag - dp_sgd,final_test_loss,42,0.40994930267333984,,,
syn_diag - dp_sgd,final_test_loss,all,,0.40994930267333984,,1
syn_diag - dp_sgd,late_aggregate_cosine,42,-0.015005829817776983,,,
syn_diag - dp_sgd,late_aggregate_cosine,all,,-0.015005829817776983,,1
syn_diag - dp_sgd,late_aggregate_cosine_iqr,42,0.008421847161338869,,,
syn_diag - dp_sgd,late_aggregate_cosine_iqr,all,,0.008421847161338869,,1
syn_diag - dp_sgd,late_aggregate_cosine_q25,42,-0.019216753398446418,,,
syn_diag - dp_sgd,late_aggregate_cosine_q25,all,,-0.019216753398446418,,1
syn_diag - dp_sgd,late_aggregate_cosine_q75,42,-0.010794906237107549,,,
syn_diag - dp_sgd,late_aggregate_cosine_q75,all,,-0.010794906237107549,,1
syn_diag - dp_sgd,late_coefficient_cv,42,0.07447280588300065,,,
syn_diag - dp_sgd,late_coefficient_cv,all,,0.07447280588300065,,1
syn_diag - dp_sgd,late_coefficient_cv_iqr,42,0.024990854446909627,,,
syn_diag - dp_sgd,late_coefficient_cv_iqr,all,,0.024990854446909627,,1
