method,metric,mean,std,n
dp_kfc,early_G_full,0.8041145821336381,0.01304862820166274,3
dp_kfc,late_G_full,1.037907716620303,0.0027534606789532466,3
dp_kfc,delta_G_full,0.23379313448666508,0.015384354267042443,3
dp_kfc,early_G_diag,0.8038701961223177,0.029198555086775945,3
dp_kfc,late_G_diag,0.5354218472368246,0.024837032915836863,3
dp_kfc,early_G_diag_conv,0.7739870734621848,0.12181705854972509,3
dp_kfc,late_G_diag_conv,0.7374796640043672,0.114581170322322,3
dp_kfc,early_G_diag_fc,0.8599218732555092,0.1940261534503485,3
dp_kfc,late_G_diag_fc,0.39676824655185583,0.07907127546706655,3
dp_kfc,early_diag_fc_over_conv,1.1630193840478253,0.4895468830805659,3
dp_kfc,late_diag_fc_over_conv,0.553165219222712,0.2077335111385174,3
dp_kfc,early_fc_share,0.9851424642026957,0.0019204916497286449,3
dp_kfc,late_fc_share,0.9356530186838944,0.007902845997727146,3
dp_kfc,early_layer_entropy,0.5363379698347672,0.008241827193685314,3
dp_kfc,late_layer_entropy,0.5014235796020821,0.03839580546468607,3
dp_sgd,early_G_full,1.0,0.0,3
dp_sgd,late_G_full,1.0,0.0,3
dp_sgd,delta_G_full,0.0,0.0,3
dp_sgd,early_G_diag,1.0,0.0,3
dp_sgd,late_G_diag,1.0,0.0,3
dp_sgd,early_G_diag_conv,1.0,0.0,3
dp_sgd,late_G_diag_conv,1.0,0.0,3
dp_sgd,early_G_diag_fc,1.0,0.0,3
dp_sgd,late_G_diag_fc,1.0,0.0,3
dp_sgd,early_diag_fc_over_conv,1.0,0.0,3
dp_sgd,late_diag_fc_over_conv,1.0,0.0,3
dp_sgd,early_fc_share,0.9704892813087415,0.0040982559847779505,3
dp_sgd,late_fc_share,0.9889699046070947,0.00022959332769813273,3
dp_sgd,early_layer_entropy,0.45887132982908435,0.004718823994274433,3
dp_sgd,late_layer_entropy,0.4810542138995036,0.0035774702835976633,3
syn_diag,early_G_full,1.006020992341379,0.0436796885246428,3
syn_diag,late_G_full,0.995457394535685,0.011318706224269047,3
syn_diag,delta_G_full,-0.010563597805693678,0.032873748339341445,3
syn_diag,early_G_diag,0.9701551166016072,0.06970053602827994,3
syn_diag,late_G_diag,0.8213234429946376,0.09021836832488095,3
syn_diag,early_G_diag_conv,0.7500943692773858,0.10209941207835922,3
syn_diag,late_G_diag_conv,0.6232589888561846,0.13234224171294662,3
syn_diag,early_G_diag_fc,1.3033892668901519,0.01558931733638052,3
syn_diag,late_G_diag_fc,1.0936135225709913,0.02506893737114524,3
syn_diag,early_diag_fc_over_conv,1.8034786192928773,0.20685241456931766,3
syn_diag,late_diag_fc_over_conv,1.797714207198507,0.37002039485147414,3
syn_diag,early_fc_share,0.9808387508623287,0.0023338280687022505,3
syn_diag,late_fc_share,0.9775953950385915,0.002453238878941511,3
syn_diag,early_layer_entropy,0.26883700659223775,0.04012226199713332,3
syn_diag,late_layer_entropy,0.18873946723258506,0.03503412196966793,3
