step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
0,conv1,1.2072068941091554,1.0090075546981128,1.2180808762397823,1.0192312212375116,3.117477293787133,3.1774301893268726,160,160,1.4340032911026814e-15,8.775296606312304e-12,1.2072068941091554,1.0192312212375116,1.2180808762397823,3.1774301893268726,160,8.775296606312304e-12,,,,,,,,
0,conv2,0.5507419122321356,2.660017431334592,1.4649830867040268,0.9136309837300752,2.2669681985148777,2.071172385293944,512,512,2.631590883710698e-13,1.5294684665597818e-09,0.5507419122321356,0.9136309837300752,1.4649830867040268,2.071172385293944,512,1.5294684665597818e-09,,,,,,,,
0,fc1,1.4982230219267196,8.677166754498447,13.00033099668673,0.924847268147782,1.941218298218679,1.7953304399860315,512,512,1.2455922971113472e-10,7.276839019963098e-06,1.4982230219267196,0.924847268147782,13.00033099668673,1.7953304399860315,512,7.276839019963098e-06,,,,,,,,
0,fc2,1.3828827959320993,9.734194479933374,13.461250078557072,1.245453365567167,2.5726592705286095,3.204127146937429,512,512,9.613749656889174e-14,5.783807670240272e-10,1.3828827959320993,1.245453365567167,13.461250078557072,3.204127146937429,512,5.783807670240272e-10,,,,,,,,
50,conv1,1.206664651978362,1.0071750274172295,1.2153225039397084,1.0192296122167257,3.1204349081702385,3.180439661401886,160,160,1.43484851564032e-15,8.841449637031576e-12,1.206664651978362,1.0192296122167257,1.2153225039397084,3.180439661401886,160,8.841449637031576e-12,1.20158198408409,1.0222462492825048,1.2102033677639423,3.1898528810072238,160,8.767078728675947e-12,-0.0051191361757660925,0.009413219605337808
50,conv2,0.5495351042412877,2.6527592854564395,1.4577843504603485,0.9073470617558294,2.2662271073081346,2.0562545070874485,512,512,2.635880195317489e-13,1.5155604090226942e-09,0.5495351042412877,0.9073470617558294,1.4577843504603485,2.0562545070874485,512,1.5155604090226942e-09,0.5521408089934876,0.9092872515707726,1.4646966579369045,2.060651417839396,512,1.5164141896146376e-09,0.006912307476556023,0.00439691075194748
50,fc1,1.4971905135446466,8.676331466471588,12.990121163970173,0.9251517473184007,1.94328298214128,1.7978316464621176,512,512,1.2447455345694279e-10,4.545323747531141e-06,1.4971905135446466,0.9251517473184007,12.990121163970173,1.7978316464621176,512,4.545323747531141e-06,1.4981314826367913,0.92283125552295,12.998285323713326,1.79332227424582,512,6.517604197501951e-06,0.008164159743152766,-0.004509372216297658
50,fc2,1.3804571882704115,9.731141102072286,13.433423684429341,1.2501447917589141,2.5726223838937017,3.216150474387113,512,512,9.606032948517435e-14,5.063560190246573e-10,1.3804571882704115,1.2501447917589141,13.433423684429341,3.216150474387113,512,5.063560190246573e-10,1.3830596134833473,1.2415193378945613,13.458748251384009,3.193960438704436,512,5.227877819737545e-10,0.02532456695466756,-0.022190035682676967
100,conv1,1.2041003561679413,1.0148911710926027,1.222030820584302,1.0173713631020465,3.123571002078024,3.1778316881301443,160,160,1.4496779759868e-15,8.928680762957777e-12,1.2041003561679413,1.0173713631020465,1.222030820584302,3.1778316881301443,160,8.928680762957777e-12,1.1983374879666526,1.0178583345158563,1.2161821365266439,3.1793527779171615,160,8.929049278667345e-12,-0.005848684057658149,0.0015210897870172602
100,conv2,0.5494350547275412,2.6509300623140364,1.4565139038663966,0.903966586963653,2.2747629931550595,2.0563097390736025,512,512,2.6475956018600593e-13,1.4471052181153477e-09,0.5494350547275412,0.903966586963653,1.4565139038663966,2.0563097390736025,512,1.4471052181153477e-09,0.5493827292345163,0.9044315804151462,1.4563751926439115,2.0573674889691187,512,1.4837972376049156e-09,-0.00013871122248509948,0.0010577498955162135
100,fc1,1.4977542256389074,8.675337414933681,12.993523272060235,0.9179433576937029,1.9444547824872405,1.7848993519199163,512,512,1.2388159977014957e-10,3.5510190954392347e-06,1.4977542256389074,0.9179433576937029,12.993523272060235,1.7848993519199163,512,3.5510190954392347e-06,1.4970060515862802,0.9233405812632157,12.987032609708598,1.7953940091018084,512,4.132374665788681e-06,-0.006490662351637866,0.01049465718189202
100,fc2,1.37958224106924,9.730607519721598,13.424173329022722,1.2446473891842658,2.5740545631273974,3.203790291614361,512,512,9.594097325631558e-14,4.907513607032045e-10,1.37958224106924,1.2446473891842658,13.424173329022722,3.203790291614361,512,4.907513607032045e-10,1.3826720675827053,1.2453106071851625,13.454239218129283,3.2054974509359173,512,4.828693956986322e-10,0.030065889106561272,0.0017071593215565173
150,conv1,1.1736401394834308,1.0142457321956986,1.190359502604634,1.0203147811730513,3.1181881569424745,3.1815334670071613,160,160,1.4458239424428143e-15,8.895839531592314e-12,1.1736401394834308,1.0203147811730513,1.190359502604634,3.1815334670071613,160,8.895839531592314e-12,1.2002566005349484,1.019366907525286,1.2173551346322888,3.1785778186244213,160,8.896919049631651e-12,0.02699563202765476,-0.0029556483827399838
150,conv2,0.5518493884542587,2.6524820504199,1.4637705974101198,0.907639804580239,2.265930560249086,2.0566487708968717,512,512,2.6439485052042496e-13,1.4762476382658208e-09,0.5518493884542587,0.907639804580239,1.4637705974101198,2.0566487708968717,512,1.4762476382658208e-09,0.5482760243286421,0.9073869606698685,1.4542923132073073,2.05607584415339,512,1.4450964582966362e-09,-0.009478284202812493,-0.0005729267434815277
150,fc1,1.4976602634830052,8.67486156720377,12.991995460416994,0.9185638115032141,1.9534894162030276,1.7944046838786416,512,512,1.234493654916631e-10,5.79641666621738e-06,1.4976602634830052,0.9185638115032141,12.991995460416994,1.7944046838786416,512,5.79641666621738e-06,1.4974916439985375,0.9153041695893425,12.990532709731703,1.7880370078992815,512,3.2636988007848295e-06,-0.0014627506852917804,-0.006367675979360055
150,fc2,1.3792553293146868,9.729311727048229,13.419205050095147,1.2473356119188035,2.5756088943922006,3.2126486963502083,512,512,9.58711282486517e-14,4.80865029686005e-10,1.3792553293146868,1.2473356119188035,13.419205050095147,3.2126486963502083,512,4.80865029686005e-10,1.3792816281135263,1.2440605289955173,13.419460919307106,3.2042133636431207,512,4.721082038689162e-10,0.00025586921195852597,-0.008435332707087628
