step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,beta2_delta_t,beta2_D_innovation,beta2_D_ema,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full
0,conv1,2560,512,0.503280770033598,827688,,,,,0.11375342472735793,,,1.9041331453454986,
0,conv2,2560,512,0.503280770033598,827688,,,,,0.8289577704672452,,,1.6506087102381835,
0,fc1,2560,512,0.503280770033598,827688,,,,,11.957576069300892,,,1.1723371970850591,
0,fc2,2560,512,0.503280770033598,827688,,,,,12.078725578153975,,,1.777770100240676,
50,conv1,2560,512,0.5233336258679628,827688,50,0.03922953924778612,0.0019109316481808643,0.10947378698291099,0.11035579662652564,-0.0008820096436146507,1.9165448238579765,1.9167475377775247,-0.00020271391954818085
50,conv2,2560,512,0.5233336258679628,827688,50,0.5899152711319366,0.0068361608220058245,0.843494517913467,0.8422415890283047,0.0012529288851622633,1.6798224175870282,1.6798636801162996,-4.1262529271390846e-05
50,fc1,2560,512,0.5233336258679628,827688,50,1.0644059883926966,0.5138301792334844,11.953309275911833,11.953027367503202,0.00028190840863118183,1.1406701865837205,1.1405080388650461,0.00016214771867439914
50,fc2,2560,512,0.5233336258679628,827688,50,0.8720072052068728,0.26592484013242074,12.075790808615523,12.071883684224693,0.0039071243908299635,1.7624647567804475,1.7621422650174634,0.00032249176298404514
100,conv1,2560,512,0.5333413956686854,827688,50,0.042637485305872816,0.002071034621897978,0.12186046818835357,0.12129991062689821,0.0005605575614553576,1.9477001595520682,1.9479539968230792,-0.00025383727101102593
100,conv2,2560,512,0.5333413956686854,827688,50,0.5778722672614026,0.008841772814527868,0.909672247567192,0.9078098442565414,0.0018624033106505733,1.660466295274955,1.660381725006278,8.457026867692008e-05
100,fc1,2560,512,0.5333413956686854,827688,50,1.3573246965973496,0.2234072129065413,11.962228416453847,11.961843511361606,0.0003849050922415387,1.154543490425859,1.154222452170164,0.0003210382556948499
100,fc2,2560,512,0.5333413956686854,827688,50,1.1617007891440752,0.09787294679707317,12.102915873110963,12.101940860715313,0.0009750123956493439,1.8156962161064591,1.8156103536859296,8.586242052954773e-05
150,conv1,2560,512,0.5346218999475241,827688,50,0.03528637905071028,0.0017265038590807767,0.11421964464636193,0.1144166708397274,-0.00019702619336546545,1.920417311979908,1.920356547795856,6.07641840519868e-05
150,conv2,2560,512,0.5346218999475241,827688,50,0.5872140236325464,0.014527451302931855,0.839204790840581,0.8388928980623477,0.0003118927782332914,1.6721180352561222,1.6720528913575154,6.514389860678982e-05
150,fc1,2560,512,0.5346218999475241,827688,50,1.2867708960247068,0.12455381106066715,11.963864392103124,11.963284788176537,0.0005796039265870689,1.1642916844967561,1.1637764772039811,0.0005152072927749884
150,fc2,2560,512,0.5346218999475241,827688,50,1.0947916153533872,0.1138964566602826,12.097590227048771,12.095954852832964,0.0016353742158070617,1.783478225459143,1.782949709723216,0.0005285157359269377
200,conv1,2560,512,0.5316424677148461,827688,50,0.03452490746730007,0.0016926049223337353,0.11660600176718788,0.11482684795277869,0.0017791538144091984,1.9211817449622222,1.9212755959633596,-9.385100113745715e-05
200,conv2,2560,512,0.5316424677148461,827688,50,0.5825252791793509,0.052197916463641615,0.8507387262650121,0.8507634200080156,-2.4693743003512125e-05,1.6715984168420301,1.6715471552016157,5.1261640414468346e-05
200,fc1,2560,512,0.5316424677148461,827688,50,1.270371878883492,0.16376663152270887,11.96776303855682,11.967043780046533,0.0007192585102870908,1.1653873654380296,1.1647172595023043,0.0006701059357252515
200,fc2,2560,512,0.5316424677148461,827688,50,1.1507815881965615,0.1531714220748552,12.113939391740745,12.11203367956622,0.0019057121745245098,1.819542165566415,1.8189756794731582,0.0005664860932568239
250,conv1,2560,512,0.5390498992055655,827688,50,0.03362283785046723,0.0016432569535292823,0.10366663296477019,0.10367816816107148,-1.1535196301287742e-05,1.914888268624647,1.9147255623157389,0.00016270630890802273
250,conv2,2560,512,0.5390498992055655,827688,50,0.5728844713436919,0.007783358078900812,0.8473786389017558,0.8486035504209837,-0.0012249115192278781,1.6703328997207179,1.670404847565912,-7.194784519404251e-05
250,fc1,2560,512,0.5390498992055655,827688,50,1.056986031242683,0.23504724226846327,11.961277998877069,11.960733434120172,0.0005445647568969036,1.1759472189888165,1.1756356289860197,0.00031159000279679105
250,fc2,2560,512,0.5390498992055655,827688,50,0.8880894480349272,0.04089352023660916,12.094162663223642,12.093086182946871,0.0010764802767706527,1.7871014706241752,1.785610041150411,0.0014914294737642386
300,conv1,2560,512,0.5331205762922764,827688,50,0.03268062250391856,0.0015726952757445713,0.10096878667973609,0.10077226194665978,0.00019652473307631146,1.8950113532998223,1.8948876906428236,0.00012366265699870205
