step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
0,conv1,1.0,1.070927750152876,1.070927750152876,1.0,2.4776459785892038,2.4776459785892038,160,160,2.099057303978818e-15,2.099057303978818e-15,1.0,1.0,1.070927750152876,2.4776459785892038,160,2.099057303978818e-15,,,,,,,,
0,conv2,1.0,2.1213207192770906,2.1213207192770906,1.0,2.0269674738073027,2.0269674738073027,512,512,2.68081967141971e-13,2.68081967141971e-13,1.0,1.0,2.1213207192770906,2.0269674738073027,512,2.68081967141971e-13,,,,,,,,
0,fc1,1.0,8.792181575083564,8.792181575083564,1.0,1.8909002607235736,1.8909002607235736,512,512,1.4928894250729488e-10,1.4928894250729488e-10,1.0,1.0,8.792181575083564,1.8909002607235736,512,1.4928894250729488e-10,,,,,,,,
0,fc2,1.0,6.509270931364751,6.509270931364751,1.0,2.4750108757771097,2.4750108757771097,512,512,1.191259624331098e-13,1.191259624331098e-13,1.0,1.0,6.509270931364751,2.4750108757771097,512,1.191259624331098e-13,,,,,,,,
50,conv1,1.0,1.675172804131323,1.675172804131323,1.0,2.678796693276441,2.678796693276441,160,160,5.746353393870034e-14,5.746353393870034e-14,1.0,1.0,1.675172804131323,2.678796693276441,160,5.746353393870034e-14,,,,,,,,
50,conv2,1.0,2.3964681426923997,2.3964681426923997,1.0,2.2792318093165225,2.2792318093165225,512,512,1.0936486402428458e-12,1.0936486402428458e-12,1.0,1.0,2.3964681426923997,2.2792318093165225,512,1.0936486402428458e-12,,,,,,,,
50,fc1,1.0,9.584484110204096,9.584484110204096,1.0,2.4325862881723643,2.4325862881723643,512,512,1.0006786865830536e-09,1.0006786865830536e-09,1.0,1.0,9.584484110204096,2.4325862881723643,512,1.0006786865830536e-09,,,,,,,,
50,fc2,1.0,11.173153265772553,11.173153265772553,1.0,3.4678838165640444,3.4678838165640444,512,512,2.152817250956494e-12,2.152817250956494e-12,1.0,1.0,11.173153265772553,3.4678838165640444,512,2.152817250956494e-12,,,,,,,,
100,conv1,1.0,1.607739405816997,1.607739405816997,1.0,3.1927596703174905,3.1927596703174905,160,160,4.6674998374721376e-14,4.6674998374721376e-14,1.0,1.0,1.607739405816997,3.1927596703174905,160,4.6674998374721376e-14,,,,,,,,
100,conv2,1.0,2.5924441489965124,2.5924441489965124,1.0,6.534752856784943,6.534752856784943,512,512,1.9087421178500275e-12,1.9087421178500275e-12,1.0,1.0,2.5924441489965124,6.534752856784943,512,1.9087421178500275e-12,,,,,,,,
