contrast,metric,seed,delta,mean,std,n
Full - SynDiag,final_accuracy,7,0.0012999999999999678,,,
Full - SynDiag,final_accuracy,42,0.0,,,
Full - SynDiag,final_accuracy,91,-0.0035000000000000586,,,
Full - SynDiag,final_accuracy,all,,-0.0007333333333333636,0.00248260615751541,3.0
Full - SynDiag,final_test_loss,7,0.03380381947755812,,,
Full - SynDiag,final_test_loss,42,0.017777432060241738,,,
Full - SynDiag,final_test_loss,91,0.0347481045722961,,,
Full - SynDiag,final_test_loss,all,,0.028776452036698652,0.009537124772011204,3.0
Full - SynDiag,late_mean_accuracy,7,0.001742857142857157,,,
Full - SynDiag,late_mean_accuracy,42,-0.0007999999999999119,,,
Full - SynDiag,late_mean_accuracy,91,-0.0024999999999999467,,,
Full - SynDiag,late_mean_accuracy,all,,-0.0005190476190475671,0.002135336007270397,3.0
Full - syn_diag_beta1,final_accuracy,7,-0.000300000000000078,,,
Full - syn_diag_beta1,final_accuracy,42,0.0,,,
Full - syn_diag_beta1,final_accuracy,91,-0.0016000000000000458,,,
Full - syn_diag_beta1,final_accuracy,all,,-0.0006333333333333746,0.000850490054811549,3.0
Full - syn_diag_beta1,final_test_loss,7,0.026089951765537245,,,
Full - syn_diag_beta1,final_test_loss,42,0.024402351653575904,,,
Full - syn_diag_beta1,final_test_loss,91,0.030035963082313488,,,
Full - syn_diag_beta1,final_test_loss,all,,0.026842755500475546,0.002891267806690254,3.0
Full - syn_diag_beta1,late_mean_accuracy,7,0.0003857142857141005,,,
Full - syn_diag_beta1,late_mean_accuracy,42,-0.001542857142857068,,,
Full - syn_diag_beta1,late_mean_accuracy,91,-0.00041428571428558936,,,
Full - syn_diag_beta1,late_mean_accuracy,all,,-0.000523809523809519,0.0009689393878952054,3.0
Full - syn_diag_beta2,final_accuracy,7,0.0007999999999999119,,,
Full - syn_diag_beta2,final_accuracy,42,0.000500000000000056,,,
Full - syn_diag_beta2,final_accuracy,91,-0.0030999999999999917,,,
Full - syn_diag_beta2,final_accuracy,all,,-0.000600000000000008,0.0021702534414210516,3.0
Full - syn_diag_beta2,final_test_loss,7,0.002371980297565468,,,
Full - syn_diag_beta2,final_test_loss,42,-0.004708896207809454,,,
Full - syn_diag_beta2,final_test_loss,91,0.004371773982048022,,,
Full - syn_diag_beta2,final_test_loss,all,,0.0006782860239346785,0.004771382712971037,3.0
Full - syn_diag_beta2,late_mean_accuracy,7,0.001571428571428557,,,
Full - syn_diag_beta2,late_mean_accuracy,42,0.0011428571428571122,,,
Full - syn_diag_beta2,late_mean_accuracy,91,-0.0004714285714285671,,,
Full - syn_diag_beta2,late_mean_accuracy,all,,0.000747619047619034,0.00107725400462294,3.0
Full - dp_sgd_momentum,final_accuracy,7,0.010299999999999976,,,
Full - dp_sgd_momentum,final_accuracy,42,0.0045000000000000595,,,
Full - dp_sgd_momentum,final_accuracy,91,0.0022999999999999687,,,
Full - dp_sgd_momentum,final_accuracy,all,,0.005700000000000001,0.004132795663954356,3.0
Full - dp_sgd_momentum,final_test_loss,7,0.0023746326923370087,,,
Full - dp_sgd_momentum,final_test_loss,42,0.012086937487125415,,,
Full - dp_sgd_momentum,final_test_loss,91,0.026730850267410233,,,
Full - dp_sgd_momentum,final_test_loss,all,,0.013730806815624219,0.012261038431469041,3.0
Full - dp_sgd_momentum,late_mean_accuracy,7,0.004171428571428604,,,
Full - dp_sgd_momentum,late_mean_accuracy,42,-0.0010857142857142454,,,
Full - dp_sgd_momentum,late_mean_accuracy,91,-0.006228571428571472,,,
Full - dp_sgd_momentum,late_mean_accuracy,all,,-0.001047619047619038,0.005200104656194387,3.0
Full - dp_kfc_momentum,final_accuracy,7,-0.03850000000000009,,,
Full - dp_kfc_momentum,final_accuracy,42,-0.042300000000000004,,,
Full - dp_kfc_momentum,final_accuracy,91,-0.04920000000000002,,,
Full - dp_kfc_momentum,final_accuracy,all,,-0.04333333333333337,0.005424327915358088,3.0
Full - dp_kfc_momentum,final_test_loss,7,0.1520623479123227,,,
Full - dp_kfc_momentum,final_test_loss,42,0.17653597612753513,,,
Full - dp_kfc_momentum,final_test_loss,91,0.21778106369636951,,,
Full - dp_kfc_momentum,final_test_loss,all,,0.18212646257874243,0.03321411680516178,3.0
Full - dp_kfc_momentum,late_mean_accuracy,7,-0.04431428571428575,,,
Full - dp_kfc_momentum,late_mean_accuracy,42,-0.04771428571428571,,,
Full - dp_kfc_momentum,late_mean_accuracy,91,-0.056471428571428395,,,
Full - dp_kfc_momentum,late_mean_accuracy,all,,-0.049499999999999954,0.006272209518574499,3.0
