step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
0,conv1,1.0,2.0330429227704543,2.0330429227704543,1.0,3.1304911379209988,3.1304911379209988,160,160,1.8531004688950342e-15,1.8531004688950342e-15,1.0,1.0,2.0330429227704543,3.1304911379209988,160,1.8531004688950342e-15,,,,,,,,
0,conv2,1.0,3.7456899087767663,3.7456899087767663,1.0,2.213293776734351,2.213293776734351,512,512,1.5411781673641228e-13,1.5411781673641228e-13,1.0,1.0,3.7456899087767663,2.213293776734351,512,1.5411781673641228e-13,,,,,,,,
0,fc1,1.0,8.927621095860035,8.927621095860035,1.0,2.0407313317226876,2.0407313317226876,512,512,2.1577798205830842e-10,2.1577798205830842e-10,1.0,1.0,8.927621095860035,2.0407313317226876,512,2.1577798205830842e-10,,,,,,,,
0,fc2,1.0,10.033157938117789,10.033157938117789,1.0,2.671251483723741,2.671251483723741,512,512,1.406107461825766e-13,1.406107461825766e-13,1.0,1.0,10.033157938117789,2.671251483723741,512,1.406107461825766e-13,,,,,,,,
50,conv1,1.0,2.5588296272267814,2.5588296272267814,1.0,3.1896256376665053,3.1896256376665053,160,160,1.5562596948336437e-14,1.5562596948336437e-14,1.0,1.0,2.5588296272267814,3.1896256376665053,160,1.5562596948336437e-14,,,,,,,,
50,conv2,1.0,3.8171501938024637,3.8171501938024637,1.0,2.1837865178568956,2.1837865178568956,512,512,3.392991051355664e-13,3.392991051355664e-13,1.0,1.0,3.8171501938024637,2.1837865178568956,512,3.392991051355664e-13,,,,,,,,
50,fc1,1.0,9.214233961554516,9.214233961554516,1.0,2.1611990286338707,2.1611990286338707,512,512,4.3493159191372796e-10,4.3493159191372796e-10,1.0,1.0,9.214233961554516,2.1611990286338707,512,4.3493159191372796e-10,,,,,,,,
50,fc2,1.0,10.592598386570021,10.592598386570021,1.0,3.1265335204233384,3.1265335204233384,512,512,4.660216612006492e-13,4.660216612006492e-13,1.0,1.0,10.592598386570021,3.1265335204233384,512,4.660216612006492e-13,,,,,,,,
100,conv1,1.0,3.009304140002583,3.009304140002583,1.0,3.2836985550866618,3.2836985550866618,160,160,5.732811336696109e-14,5.732811336696109e-14,1.0,1.0,3.009304140002583,3.2836985550866618,160,5.732811336696109e-14,,,,,,,,
100,conv2,1.0,3.9678830754791803,3.9678830754791803,1.0,2.4267524202592305,2.4267524202592305,512,512,7.920056326754289e-13,7.920056326754289e-13,1.0,1.0,3.9678830754791803,2.4267524202592305,512,7.920056326754289e-13,,,,,,,,
100,fc1,1.0,9.67608517154645,9.67608517154645,1.0,2.4981592938605823,2.4981592938605823,512,512,1.2009491418725677e-09,1.2009491418725677e-09,1.0,1.0,9.67608517154645,2.4981592938605823,512,1.2009491418725677e-09,,,,,,,,
100,fc2,1.0,11.255748449260818,11.255748449260818,1.0,3.7368810638936263,3.7368810638936263,512,512,2.239289645060241e-12,2.239289645060241e-12,1.0,1.0,11.255748449260818,3.7368810638936263,512,2.239289645060241e-12,,,,,,,,
150,conv1,1.0,2.9077777131690636,2.9077777131690636,1.0,3.520502968154462,3.520502968154462,160,160,3.8142757745135315e-14,3.8142757745135315e-14,1.0,1.0,2.9077777131690636,3.520502968154462,160,3.8142757745135315e-14,,,,,,,,
150,conv2,1.0,4.073852286318219,4.073852286318219,1.0,4.494871685971825,4.494871685971825,512,512,1.1865322036079506e-12,1.1865322036079506e-12,1.0,1.0,4.073852286318219,4.494871685971825,512,1.1865322036079506e-12,,,,,,,,
150,fc1,1.0,9.995772324777048,9.995772324777048,1.0,4.574518195074993,4.574518195074993,512,512,2.688821976190956e-09,2.688821976190956e-09,1.0,1.0,9.995772324777048,4.574518195074993,512,2.688821976190956e-09,,,,,,,,
150,fc2,1.0,11.680235104640104,11.680235104640104,1.0,5.968170148387221,5.968170148387221,512,512,6.544947409325066e-12,6.544947409325066e-12,1.0,1.0,11.680235104640104,5.968170148387221,512,6.544947409325066e-12,,,,,,,,
200,conv1,1.0,2.883355013732416,2.883355013732416,1.0,3.843817588586011,3.843817588586011,160,160,3.662651579212344e-14,3.662651579212344e-14,1.0,1.0,2.883355013732416,3.843817588586011,160,3.662651579212344e-14,,,,,,,,
200,conv2,1.0,4.143654804479645,4.143654804479645,1.0,6.83292859176683,6.83292859176683,512,512,1.7846687834422223e-12,1.7846687834422223e-12,1.0,1.0,4.143654804479645,6.83292859176683,512,1.7846687834422223e-12,,,,,,,,
200,fc1,1.0,10.18216778940629,10.18216778940629,1.0,6.965466327989661,6.965466327989661,512,512,4.301704996572679e-09,4.301704996572679e-09,1.0,1.0,10.18216778940629,6.965466327989661,512,4.301704996572679e-09,,,,,,,,
200,fc2,1.0,11.889592856503807,11.889592856503807,1.0,8.373151696984937,8.373151696984937,512,512,1.4559191617730446e-11,1.4559191617730446e-11,1.0,1.0,11.889592856503807,8.373151696984937,512,1.4559191617730446e-11,,,,,,,,
250,conv1,1.0,2.878101109255729,2.878101109255729,1.0,4.083207470067674,4.083207470067674,160,160,3.8491849139286245e-14,3.8491849139286245e-14,1.0,1.0,2.878101109255729,4.083207470067674,160,3.8491849139286245e-14,,,,,,,,
250,conv2,1.0,4.200964978545754,4.200964978545754,1.0,8.246140104548267,8.246140104548267,511,511,1.9654366977259374e-12,1.9654366977259374e-12,1.0,1.0,4.200964978545754,8.246140104548267,511,1.9654366977259374e-12,,,,,,,,
250,fc1,1.0,10.279312144264686,10.279312144264686,1.0,7.574049488402213,7.574049488402213,490,490,5.3728421676085036e-09,5.3728421676085036e-09,1.0,1.0,10.279312144264686,7.574049488402213,490,5.3728421676085036e-09,,,,,,,,
250,fc2,1.0,12.000347512042763,12.000347512042763,1.0,9.296197511433757,9.296197511433757,501,501,1.8921926479442628e-11,1.8921926479442628e-11,1.0,1.0,12.000347512042763,9.296197511433757,501,1.8921926479442628e-11,,,,,,,,
300,conv1,1.0,2.937721034077799,2.937721034077799,1.0,4.3805907543083515,4.3805907543083515,160,160,4.49573914412869e-14,4.49573914412869e-14,1.0,1.0,2.937721034077799,4.3805907543083515,160,4.49573914412869e-14,,,,,,,,
300,conv2,1.0,4.215501559356896,4.215501559356896,1.0,9.091529068961984,9.091529068961984,506,506,2.2474828353484613e-12,2.2474828353484613e-12,1.0,1.0,4.215501559356896,9.091529068961984,506,2.2474828353484613e-12,,,,,,,,
300,fc1,1.0,10.367624352027939,10.367624352027939,1.0,7.828275568769476,7.828275568769476,462,462,7.068732563972215e-09,7.068732563972215e-09,1.0,1.0,10.367624352027939,7.828275568769476,462,7.068732563972215e-09,,,,,,,,
300,fc2,1.0,12.084047214155204,12.084047214155204,1.0,9.433134471588103,9.433134471588103,477,477,2.6624588282676602e-11,2.6624588282676602e-11,1.0,1.0,12.084047214155204,9.433134471588103,477,2.6624588282676602e-11,,,,,,,,
350,conv1,1.0,2.9231009937437964,2.9231009937437964,1.0,4.524819715450939,4.524819715450939,160,160,4.8013110677587446e-14,4.8013110677587446e-14,1.0,1.0,2.9231009937437964,4.524819715450939,160,4.8013110677587446e-14,,,,,,,,
350,conv2,1.0,4.239461806060595,4.239461806060595,1.0,9.301465334906236,9.301465334906236,499,499,2.386093068185498e-12,2.386093068185498e-12,1.0,1.0,4.239461806060595,9.301465334906236,499,2.386093068185498e-12,,,,,,,,
350,fc1,1.0,10.376205394318967,10.376205394318967,1.0,7.94762767912386,7.94762767912386,446,446,6.525852112703774e-09,6.525852112703774e-09,1.0,1.0,10.376205394318967,7.94762767912386,446,6.525852112703774e-09,,,,,,,,
350,fc2,1.0,12.098256030039217,12.098256030039217,1.0,9.703417684594793,9.703417684594793,466,466,2.503962106092076e-11,2.503962106092076e-11,1.0,1.0,12.098256030039217,9.703417684594793,466,2.503962106092076e-11,,,,,,,,
400,conv1,1.0,2.9739149925988277,2.9739149925988277,1.0,4.932215433275781,4.932215433275781,160,160,5.482449561877044e-14,5.482449561877044e-14,1.0,1.0,2.9739149925988277,4.932215433275781,160,5.482449561877044e-14,,,,,,,,
400,conv2,1.0,4.294787143736921,4.294787143736921,1.0,9.515409058592832,9.515409058592832,478,478,2.6399062618023354e-12,2.6399062618023354e-12,1.0,1.0,4.294787143736921,9.515409058592832,478,2.6399062618023354e-12,,,,,,,,
400,fc1,1.0,10.432835245168333,10.432835245168333,1.0,7.953722522184233,7.953722522184233,418,418,7.607227560779299e-09,7.607227560779299e-09,1.0,1.0,10.432835245168333,7.953722522184233,418,7.607227560779299e-09,,,,,,,,
400,fc2,1.0,12.150515264701392,12.150515264701392,1.0,9.801904640084384,9.801904640084384,442,442,2.7949482891482263e-11,2.7949482891482263e-11,1.0,1.0,12.150515264701392,9.801904640084384,442,2.7949482891482263e-11,,,,,,,,
450,conv1,1.0,3.026044400816798,3.026044400816798,1.0,5.150920041365766,5.150920041365766,160,160,6.357099442502461e-14,6.357099442502461e-14,1.0,1.0,3.026044400816798,5.150920041365766,160,6.357099442502461e-14,,,,,,,,
450,conv2,1.0,4.289408396074129,4.289408396074129,1.0,9.69216741386217,9.69216741386217,461,461,3.0313918309958452e-12,3.0313918309958452e-12,1.0,1.0,4.289408396074129,9.69216741386217,461,3.0313918309958452e-12,,,,,,,,
450,fc1,1.0,10.459608355097853,10.459608355097853,1.0,7.912616534468928,7.912616534468928,404,404,8.00557612444737e-09,8.00557612444737e-09,1.0,1.0,10.459608355097853,7.912616534468928,404,8.00557612444737e-09,,,,,,,,
450,fc2,1.0,12.17909219850868,12.17909219850868,1.0,9.798138999816354,9.798138999816354,427,427,2.8297607176746638e-11,2.8297607176746638e-11,1.0,1.0,12.17909219850868,9.798138999816354,427,2.8297607176746638e-11,,,,,,,,
500,conv1,1.0,3.020437902098683,3.020437902098683,1.0,5.428497557443839,5.428497557443839,160,160,6.82891186802416e-14,6.82891186802416e-14,1.0,1.0,3.020437902098683,5.428497557443839,160,6.82891186802416e-14,,,,,,,,
500,conv2,1.0,4.374019865556087,4.374019865556087,1.0,9.813324692188408,9.813324692188408,444,444,3.3293150819453963e-12,3.3293150819453963e-12,1.0,1.0,4.374019865556087,9.813324692188408,444,3.3293150819453963e-12,,,,,,,,
500,fc1,1.0,10.500738862828623,10.500738862828623,1.0,7.820758176194168,7.820758176194168,393,393,9.095008641033698e-09,9.095008641033698e-09,1.0,1.0,10.500738862828623,7.820758176194168,393,9.095008641033698e-09,,,,,,,,
500,fc2,1.0,12.220350135744777,12.220350135744777,1.0,9.69830449114613,9.69830449114613,413,413,3.0548493158079743e-11,3.0548493158079743e-11,1.0,1.0,12.220350135744777,9.69830449114613,413,3.0548493158079743e-11,,,,,,,,
550,conv1,1.0,3.027171257969269,3.027171257969269,1.0,5.653724067102026,5.653724067102026,160,160,7.516674073130634e-14,7.516674073130634e-14,1.0,1.0,3.027171257969269,5.653724067102026,160,7.516674073130634e-14,,,,,,,,
550,conv2,1.0,4.417850491163775,4.417850491163775,1.0,9.66884411248577,9.66884411248577,431,431,3.6458695571763405e-12,3.6458695571763405e-12,1.0,1.0,4.417850491163775,9.66884411248577,431,3.6458695571763405e-12,,,,,,,,
550,fc1,1.0,10.528250953822667,10.528250953822667,1.0,7.982979620545849,7.982979620545849,382,382,9.88616328594966e-09,9.88616328594966e-09,1.0,1.0,10.528250953822667,7.982979620545849,382,9.88616328594966e-09,,,,,,,,
550,fc2,1.0,12.239467816892768,12.239467816892768,1.0,9.91236166679899,9.91236166679899,407,407,3.3410569857891906e-11,3.3410569857891906e-11,1.0,1.0,12.239467816892768,9.91236166679899,407,3.3410569857891906e-11,,,,,,,,
600,conv1,1.0,3.023975346216468,3.023975346216468,1.0,5.931628270523483,5.931628270523483,160,160,6.981279611719856e-14,6.981279611719856e-14,1.0,1.0,3.023975346216468,5.931628270523483,160,6.981279611719856e-14,,,,,,,,
600,conv2,1.0,4.404129968925089,4.404129968925089,1.0,9.588358085357434,9.588358085357434,422,422,3.75063228640585e-12,3.75063228640585e-12,1.0,1.0,4.404129968925089,9.588358085357434,422,3.75063228640585e-12,,,,,,,,
600,fc1,1.0,10.54564573769384,10.54564573769384,1.0,8.029937037652267,8.029937037652267,377,377,1.0109544512263867e-08,1.0109544512263867e-08,1.0,1.0,10.54564573769384,8.029937037652267,377,1.0109544512263867e-08,,,,,,,,
600,fc2,1.0,12.258368454630034,12.258368454630034,1.0,9.845736633372209,9.845736633372209,402,402,3.3646542566345435e-11,3.3646542566345435e-11,1.0,1.0,12.258368454630034,9.845736633372209,402,3.3646542566345435e-11,,,,,,,,
650,conv1,1.0,3.040499220472151,3.040499220472151,1.0,6.0611084898406995,6.0611084898406995,160,160,6.95546117061251e-14,6.95546117061251e-14,1.0,1.0,3.040499220472151,6.0611084898406995,160,6.95546117061251e-14,,,,,,,,
650,conv2,1.0,4.442247694691964,4.442247694691964,1.0,9.62714726390552,9.62714726390552,413,413,4.0866531655697605e-12,4.0866531655697605e-12,1.0,1.0,4.442247694691964,9.62714726390552,413,4.0866531655697605e-12,,,,,,,,
650,fc1,1.0,10.551400484372822,10.551400484372822,1.0,8.156316674328226,8.156316674328226,370,370,1.0163247053128448e-08,1.0163247053128448e-08,1.0,1.0,10.551400484372822,8.156316674328226,370,1.0163247053128448e-08,,,,,,,,
650,fc2,1.0,12.24849416121494,12.24849416121494,1.0,9.737272282455892,9.737272282455892,391,391,3.396498376309837e-11,3.396498376309837e-11,1.0,1.0,12.24849416121494,9.737272282455892,391,3.396498376309837e-11,,,,,,,,
700,conv1,1.0,3.01199167662267,3.01199167662267,1.0,6.314530038754624,6.314530038754624,160,160,8.210340955458514e-14,8.210340955458514e-14,1.0,1.0,3.01199167662267,6.314530038754624,160,8.210340955458514e-14,,,,,,,,
700,conv2,1.0,4.477308855791616,4.477308855791616,1.0,9.687199778961388,9.687199778961388,405,405,4.4608486139496356e-12,4.4608486139496356e-12,1.0,1.0,4.477308855791616,9.687199778961388,405,4.4608486139496356e-12,,,,,,,,
700,fc1,1.0,10.59651919131996,10.59651919131996,1.0,8.235582378421102,8.235582378421102,355,355,1.1774219715226645e-08,1.1774219715226645e-08,1.0,1.0,10.59651919131996,8.235582378421102,355,1.1774219715226645e-08,,,,,,,,
700,fc2,1.0,12.318158184911887,12.318158184911887,1.0,9.929084695176034,9.929084695176034,383,383,3.647760311841657e-11,3.647760311841657e-11,1.0,1.0,12.318158184911887,9.929084695176034,383,3.647760311841657e-11,,,,,,,,
750,conv1,1.0,3.0716287845138748,3.0716287845138748,1.0,6.696386433595283,6.696386433595283,160,160,8.149851857094619e-14,8.149851857094619e-14,1.0,1.0,3.0716287845138748,6.696386433595283,160,8.149851857094619e-14,,,,,,,,
750,conv2,1.0,4.589607305583463,4.589607305583463,1.0,9.681868459680093,9.681868459680093,398,398,4.487876689288265e-12,4.487876689288265e-12,1.0,1.0,4.589607305583463,9.681868459680093,398,4.487876689288265e-12,,,,,,,,
750,fc1,1.0,10.60075796786523,10.60075796786523,1.0,8.381520567567394,8.381520567567394,349,349,1.145477260018036e-08,1.145477260018036e-08,1.0,1.0,10.60075796786523,8.381520567567394,349,1.145477260018036e-08,,,,,,,,
750,fc2,1.0,12.302040930626783,12.302040930626783,1.0,9.975075224063268,9.975075224063268,377,377,3.6795067693022665e-11,3.6795067693022665e-11,1.0,1.0,12.302040930626783,9.975075224063268,377,3.6795067693022665e-11,,,,,,,,
800,conv1,1.0,3.043973548654123,3.043973548654123,1.0,6.790433106632529,6.790433106632529,160,160,8.075065261638921e-14,8.075065261638921e-14,1.0,1.0,3.043973548654123,6.790433106632529,160,8.075065261638921e-14,,,,,,,,
800,conv2,1.0,4.602677393535124,4.602677393535124,1.0,9.7112884123248,9.7112884123248,396,396,4.6893231167303966e-12,4.6893231167303966e-12,1.0,1.0,4.602677393535124,9.7112884123248,396,4.6893231167303966e-12,,,,,,,,
800,fc1,1.0,10.611870125857841,10.611870125857841,1.0,8.425259872258966,8.425259872258966,342,342,1.208844203376913e-08,1.208844203376913e-08,1.0,1.0,10.611870125857841,8.425259872258966,342,1.208844203376913e-08,,,,,,,,
800,fc2,1.0,12.327317860762086,12.327317860762086,1.0,10.164125647474394,10.164125647474394,375,375,3.796919875368374e-11,3.796919875368374e-11,1.0,1.0,12.327317860762086,10.164125647474394,375,3.796919875368374e-11,,,,,,,,
850,conv1,1.0,3.0578652687097296,3.0578652687097296,1.0,6.951614679456487,6.951614679456487,160,160,8.81738263593966e-14,8.81738263593966e-14,1.0,1.0,3.0578652687097296,6.951614679456487,160,8.81738263593966e-14,,,,,,,,
850,conv2,1.0,4.628933560948836,4.628933560948836,1.0,9.784800135909697,9.784800135909697,387,387,5.2225137162227e-12,5.2225137162227e-12,1.0,1.0,4.628933560948836,9.784800135909697,387,5.2225137162227e-12,,,,,,,,
