step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,beta2_delta_t,beta2_D_innovation,beta2_D_ema,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full
0,conv1,2560,512,0.4878274090588093,827688,,,,,0.1458852254096309,,,2.0330675620859617,
0,conv2,2560,512,0.4878274090588093,827688,,,,,0.9985693273472965,,,1.3956321373866112,
0,fc1,2560,512,0.4878274090588093,827688,,,,,11.965199438491533,,,1.47206847966372,
0,fc2,2560,512,0.4878274090588093,827688,,,,,12.080822511021358,,,1.9784023443708794,
50,conv1,2560,512,0.4898959267884493,827688,50,0.4104011223332513,0.025534507885986567,0.25117574904898593,0.2358956603526413,0.015280088696344618,2.0406880127647526,2.0381589894061163,0.002529023358636362
50,conv2,2560,512,0.4898959267884493,827688,50,0.892930007482402,0.216248430044484,0.9709889217999639,0.9337791803216073,0.03720974147835654,1.436877476951115,1.4124054331383684,0.02447204381274659
50,fc1,2560,512,0.4898959267884493,827688,50,4.631655236903622,2.8449404002388303,13.166406844917608,12.811033760038889,0.3553730848787193,1.362482896948869,1.2368319324588768,0.12565096448999213
50,fc2,2560,512,0.4898959267884493,827688,50,5.216899784362051,3.3545050984974623,14.092668231370784,13.148745891588925,0.9439223397818584,3.9186224276873647,2.521473829537694,1.3971485981496707
100,conv1,2560,512,0.5026943646371365,827688,50,1.1923406218038917,0.131472759813013,0.6665495565672652,0.5722350483219955,0.09431450824526977,2.0260599393955463,1.9992015646040575,0.02685837479148878
100,conv2,2560,512,0.5026943646371365,827688,50,1.8475128881975276,0.7120198173863003,1.54076712854512,1.1854218621239176,0.35534526642120245,1.5719154034834886,1.4261623082068495,0.14575309527663904
100,fc1,2560,512,0.5026943646371365,827688,50,3.74225983880299,1.5187756003569142,13.386204721576037,12.948612006893454,0.43759271468258376,1.405888476309764,1.3031556430803228,0.10273283322944127
100,fc2,2560,512,0.5026943646371365,827688,50,3.949134243972029,1.4722307409029662,14.135293057030124,13.220620938330526,0.9146721186995972,3.245497829946414,2.5291455785966157,0.7163522513497984
150,conv1,2560,512,0.49977238569408655,827688,50,1.8681620017666112,0.3195309149732781,0.9886089484657845,0.7349163019203776,0.2536926465454069,2.093327096645418,2.0900611059765475,0.0032659906688703444
150,conv2,2560,512,0.49977238569408655,827688,50,1.9686796389576955,0.6024027547647425,1.6312565620902773,1.167641580438918,0.4636149816513593,1.5650546911720573,1.4436835536830945,0.12137113748896278
