method,seed,final_accuracy,best_accuracy,late_mean_accuracy,final_test_loss,mean_refresh_time,total_refresh_time,core_wall_time,diagnostic_seconds,wall_time,peak_cuda_memory_core,peak_cuda_memory_overall,peak_cuda_memory_allocated,peak_cuda_memory_reserved,preconditioner_state_bytes,first_moment_state_bytes,second_moment_state_bytes,temporal_state_bytes,optimizer_state_bytes,total_algorithm_state_bytes,late_aggregate_cosine,late_relative_distortion,late_clipping_shape_error,late_coefficient_cv,late_expected_noise_norm,late_actual_noise_norm,late_diagnostic_snr,late_update_norm,late_method_update_norm,late_method_clip_cosine,late_noise_degradation_method,late_cos_method_adam_current_noise_off,late_cos_method_adam_noisy
syn_diag,42,0.9018,0.9018,0.8855285714285713,0.4735160163283348,0.5258128769540539,12.619509046897292,63.52771710976958,970.3490952793509,1033.8768123891205,519717376,700535808,700535808,1092616192,827688,0,0,0,0,827688,0.4639157802634778,0.9994272035052968,0.8858793082514443,0.829501355209262,1.897935625156794,1.8979255713724448,0.025543102943117,0.1898626976193488,0.1898626976193488,0.4639157804514786,0.1112073962236928,0.1137973640967251,0.0027839233406317
syn_diag_beta1,42,0.9018,0.9018,0.8862714285714285,0.4668910967350006,0.5004055197350681,12.009732473641634,63.007847268134356,951.5521824816242,1014.5600297497585,521376256,702194688,702194688,1096810496,827688,827688,0,827688,0,1655376,0.4900436343385081,0.9993957223398182,0.8716979043303372,0.8262978793281148,1.897935625156794,1.8979255711653051,0.0252358962686089,0.0435719583685147,0.0435719583685147,0.4900436353552271,0.0011518896617306,0.0113797165232949,0.0104958049786189
syn_diag_beta2,42,0.9013,0.9013,0.8835857142857143,0.496002344596386,0.4995445339397217,11.98906881455332,61.33690059836954,919.3775947652757,980.7144953636453,521466880,701897216,701897216,1092616192,827688,0,1655376,1655376,0,2483064,0.4848518171211933,0.9996378394731984,0.8745963156668753,0.8633418251747784,1.897935625156794,1.897925571391728,0.0257331226554914,0.1898643633663997,0.1898643633663997,0.4848518164477705,0.1125430136054309,0.1162596002561889,0.002906021505694
syn_diag_beta12,42,0.9018,0.9018,0.8847285714285714,0.4912934483885765,0.5006860876067852,12.016466102562845,61.84735805541277,923.4525745538995,985.2999326093122,523125760,703556096,703556096,1094713344,827688,827688,1655376,2483064,0,3310752,0.4798307050699689,0.9996329678333522,0.8773610969455067,0.8611766354578596,1.897935625156794,1.8979255714352148,0.0256533309043389,0.0435744116609898,0.0435744116609898,0.4798307048385065,0.0011250762269462,0.0117373542239614,0.0106720347366349
dp_sgd_momentum,42,0.8973,0.8973,0.8858142857142857,0.4792065109014511,0.0,0.0,48.93479677289724,806.5959810893983,855.5307778622955,520547328,701365760,701365760,1017118720,0,827688,0,827688,0,827688,0.6291641232908224,0.993285885473588,0.7772724785621813,0.6620693144361681,1.897935625156794,1.8979255713183951,0.0223056931121282,0.043542775303645,0.043542775303645,0.6291641236284388,0.0006814940761876,0.0071541135778048,0.0064971155899483
dp_kfc_momentum,42,0.9441,0.9441,0.9324428571428571,0.3147574722610414,0.1434414426330477,3.442594623193145,67.63267612457275,934.051193639636,1001.6838697642088,1116627968,1116627968,1116627968,1593835520,10069164,827688,0,827688,0,10896852,0.4636625645732733,0.999861515346372,0.8860118657170506,0.6356314792792025,1.897935625156794,1.8979255712461816,0.0233151849994135,0.0436022831180331,0.0436022831180331,0.4636625636202304,0.0006953086738883,0.0068802281894307,0.0062683784036299
syn_diag,7,0.9083,0.9083,0.8929142857142857,0.43436217242479325,0.5011140106168265,12.026736254803836,61.662911714054644,936.1312986556441,997.7942103696987,519717376,700535808,700535808,1092616192,827688,0,0,0,0,827688,0.468921734629317,0.9994674830813648,0.8805918208929365,0.8251607276225397,1.897935625156794,1.8982045174497468,0.025579278253625,0.1898959527951001,0.1898959527951001,0.4689217350116763,0.0955314750029876,0.0985035605756311,0.0023957091002158
syn_diag_beta1,7,0.9099,0.9099,0.8942714285714287,0.4420760401368141,0.5008601337128008,12.02064320910722,62.03737378679216,934.5995926074684,996.6369663942605,521376256,702194688,702194688,1096810496,827688,827688,0,827688,0,1655376,0.4604036598693211,0.9994781785271658,0.8852481753352578,0.8064164857375252,1.897935625156794,1.8982045173268756,0.0253017869981462,0.0436049252359605,0.0436049252359605,0.4604036619284131,0.0009074004594969,0.0093978049009022,0.0085967500536223
syn_diag_beta2,7,0.9088,0.9088,0.8930857142857143,0.4657940116047859,0.5017732932853202,12.042559038847685,61.37627815641463,925.916185259819,987.2924634162337,521466880,701897216,701897216,1092616192,827688,0,1655376,1655376,0,2483064,0.4681620309423184,0.99972635176988,0.8836426385941292,0.8262676369077017,1.897935625156794,1.898204517558254,0.0251497391324471,0.1898895942486903,0.1898895942486903,0.468162026359679,0.0959376363867925,0.1004817886838935,0.0025117214130223
syn_diag_beta12,7,0.9096,0.9096,0.8946571428571428,0.46816599190235136,0.4993226670970519,11.983744010329247,61.81258743535727,929.9959981832653,991.8085856186226,523125760,703556096,703556096,1094713344,827688,827688,1655376,2483064,0,3310752,0.4832588780961022,0.9996593411861436,0.8754775021106961,0.8024369266446428,1.897935625156794,1.898204517394972,0.0249234605636653,0.0436006846815903,0.0436006846815903,0.4832588782558775,0.0009538563181379,0.0094476061830611,0.0086277476640269
