contrast,metric,seed,difference,mean,sd,improvement_direction
dp_scalar_wiener - dp_sgd,final_accuracy,42,-0.5450999999999999,,,positive difference improves
dp_scalar_wiener - dp_sgd,final_accuracy,7,-0.3456,,,positive difference improves
dp_scalar_wiener - dp_sgd,final_accuracy,91,-0.4476,,,positive difference improves
dp_scalar_wiener - dp_sgd,final_accuracy,aggregate,,-0.44609999999999994,0.0997584582880068,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,42,-0.5450999999999999,,,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,7,-0.3456,,,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,91,-0.4476,,,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,aggregate,,-0.44609999999999994,0.0997584582880068,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,42,-0.5746571428571428,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,7,-0.43078571428571427,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,91,-0.540114285714286,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,aggregate,,-0.5151857142857144,0.07510540756096035,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,42,-0.5860570093457944,,,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,7,-0.519164953271028,,,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,91,-0.5725135514018691,,,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,aggregate,,-0.5592451713395639,0.035364872735325376,positive difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,42,1.6713413110971451,,,negative difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,7,1.560619390273094,,,negative difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,91,1.6050124192714692,,,negative difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,aggregate,,1.6123243735472361,0.05572193862600294,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,42,-1725.3556649818522,,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,7,-1650.9746072074477,,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,91,-1521.9818248007298,,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,aggregate,,-1632.7706989966764,102.90173187616337,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_filtered,42,-2004.7877854779554,,,negative difference improves
