method,layer,kappa_mean,kappa_sd,H_q50_mean,H_q50_sd,H_q10_mean,H_q10_sd,H_q90_mean,H_q90_sd,relmse_noisy_mean,relmse_noisy_sd,relmse_filtered_mean,relmse_filtered_sd,cosine_noisy_mean,cosine_noisy_sd,cosine_filtered_mean,cosine_filtered_sd,signal_retention_mean,signal_retention_sd,noise_retention_mean,noise_retention_sd,snr_gain_db_mean,snr_gain_db_sd,mse_reduction_mean,mse_reduction_sd,relmse_improvement_mean,relmse_improvement_sd,cosine_improvement_mean,cosine_improvement_sd
dp_fisher_wiener,conv1,0.6558609459589818,0.43359275085915594,0.057454035927851956,2.4060396874702986e-05,0.033697655300299265,8.659062057866727e-06,0.36856332719325996,6.222801989033763e-06,10.767438454768667,5.8041615136452185,0.7397625335262266,0.1764773131978007,0.31947573521844336,0.07825786865312452,0.5786137241083495,0.09663550239829344,0.15437231142279276,0.002519559377304516,0.0332539699093409,0.00019533462771971453,6.656245391055331,0.0827430959532277,0.9229815999088573,0.025830074190909443,10.068610349609356,5.598744929368106,0.24810778811987402,0.01636887259020469
dp_fisher_wiener,conv2,0.038262792095928436,0.03185460198701837,0.0038480431539937667,0.0009730712114607872,0.0012160170726322,0.000761222060126596,0.050838080421090066,0.007867125050533847,364.4882387030475,214.688898543072,4.702061793562861,3.0603336490668767,0.06164912649158197,0.020732727141957702,0.3475676667761192,0.07275193775384689,0.5384704552055063,0.06894775529741198,0.0123300924220142,0.0016075058114044308,16.319606622270566,0.5396023671730383,0.9867090186049573,0.0014955013484813347,359.57561067776356,211.57296097155083,0.2845746650418934,0.05273111955132631
dp_fisher_wiener,fc1,0.0016314499746658002,0.0012394093781875966,0.0012586164133001666,0.00013981663790929368,3.9726375356015826e-05,3.76244666306867e-05,0.013077663226673966,0.0022227652646249272,1163.7606318867324,336.5688014568947,13.432871510701496,6.348387225310846,0.0302011204035465,0.004743474186311019,0.2339120929211378,0.03400638863292867,0.7813491059454246,0.10408402370003023,0.010907394865670899,0.0024695924974523003,18.574773299908237,0.45338546595988155,0.9890000509463969,0.0023897301281462597,1151.133524997981,330.40229881363996,0.20403383647131965,0.02962851907561549
dp_fisher_wiener,fc2,0.06110386610291323,0.05661732043153558,0.0031723403953947,0.0018506091394797533,7.043788264127216e-06,6.41406801078702e-07,0.08916141490141634,0.040150880516330756,13.890177386156273,1.8268833518333147,0.590090912184311,0.0894358820699254,0.26088156927969064,0.014046578483362647,0.7376853224922404,0.025020314390800234,0.7208904134970876,0.15081757846283975,0.02964043497511783,0.010395926735502464,13.82516841862603,0.591165211150296,0.9575599702926348,0.0006024912230376779,13.31139373012168,1.7163415300420344,0.4742046741392079,0.016775185238570137
dp_scalar_wiener,conv1,0.6528803300345372,0.2386398208021322,0.1528714100519816,1.011583997367238e-05,0.1528714100519816,1.011583997367238e-05,0.1528714100519816,1.011583997367238e-05,9.131900854280046,3.2518097903794745,0.9315105552026864,0.07475489347099158,0.32540791929475016,0.05210580525869314,0.3254079197169463,0.052105804207159205,0.0233696680265372,3.092780503611729e-06,0.023369668142401434,3.092809413978913e-06,-6.657485200453784e-08,1.4444481556585285e-09,0.8906358336183432,0.03180386452669972,8.201829769714191,3.173510675272835,9.842088255496151e-11,7.951781914950845e-11
dp_scalar_wiener,conv2,0.2070544298321849,0.048447700263892834,0.06985421851277347,0.01125647624326133,0.06985421851277347,0.01125647624326133,0.06985421851277347,0.01125647624326133,66.00217654160315,4.067270394552035,1.1992538657192326,0.09772438069781005,0.12295650213061134,0.0037809937803274605,0.12295650225280517,0.003780994108770433,0.004964084012272733,0.0015097796105515212,0.0049640840156441,0.001509779611193026,-1.1668016490016634e-08,3.897421694681878e-09,0.9818823241477342,0.0007133457903869147,64.79635159963482,3.9705843975488193,-7.205176270434303e-12,2.6044889098283183e-11
dp_scalar_wiener,fc1,0.08627150765376768,0.03366518417756775,0.031856325144569035,0.008090424480988187,0.031856325144569035,0.008090424480988187,0.031856325144569035,0.008090424480988187,378.396121903994,36.01332948213787,1.34526687657943,0.18946434790612618,0.0515143742081745,0.0025596957341766347,0.0515143742078685,0.002559695728628281,0.0010584620971800334,0.0004946283272487587,0.0010584620973202667,0.0004946283273142907,-1.3836684801011817e-09,9.678022802538784e-10,0.9963739162458619,0.0003185163371171525,377.053973142567,35.923957855898685,-9.06397642127151e-13,1.7840117469862177e-12
dp_scalar_wiener,fc2,3.992452373389749,0.4314129883641284,0.012928429059684235,0.003111213318496599,0.012928429059684235,0.003111213318496599,0.012928429059684235,0.003111213318496599,18.981867458947743,2.6450923239851716,0.9775225206529535,0.005002775771204432,0.22582171720194047,0.015968353430701136,0.22582171733744275,0.015968352410312258,0.00017359737673816665,8.348155432440996e-05,0.00017359737688633337,8.348155446775175e-05,-1.292054959321113e-06,5.788287053208764e-07,0.9478534992989179,0.007283293534021394,18.002247141638936,2.6398570162728388,2.6994980325175297e-12,4.319698142034817e-11
dp_sgd,conv1,,,1.0,0.0,1.0,0.0,1.0,0.0,240.57674200418572,20.382314341380003,240.57674200418572,20.382314341380003,0.06650566135299067,0.004824182520611741,0.06650566135299067,0.004824182520611741,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dp_sgd,conv2,,,1.0,0.0,1.0,0.0,1.0,0.0,2787.227584294335,146.93150377818753,2787.227584294335,146.93150377818753,0.02008176816312447,0.0007323305673677635,0.02008176816312447,0.0007323305673677635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
