contrast,metric,seed,difference,mean,sd,improvement_direction
dp_scalar_wiener - dp_sgd,final_accuracy,42,0.09375,,,positive difference improves
dp_scalar_wiener - dp_sgd,final_accuracy,aggregate,,0.09375,,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,42,0.09375,,,positive difference improves
dp_scalar_wiener - dp_sgd,best_accuracy,aggregate,,0.09375,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,42,0.09375,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mean_accuracy,aggregate,,0.09375,,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,42,0.125,,,positive difference improves
dp_scalar_wiener - dp_sgd,accuracy_auc,aggregate,,0.125,,positive difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,42,-7.489681512117386,,,negative difference improves
dp_scalar_wiener - dp_sgd,final_test_loss,aggregate,,-7.489681512117386,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,42,50539.99315521022,,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_noisy,aggregate,,50539.99315521022,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_filtered,42,-377141.5867211062,,,negative difference improves
dp_scalar_wiener - dp_sgd,late_relmse_filtered,aggregate,,-377141.5867211062,,negative difference improves
dp_scalar_wiener - dp_sgd,late_cosine_noisy,42,0.0010753837013769893,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_cosine_noisy,aggregate,,0.0010753837013769893,,positive difference improves
dp_scalar_wiener - dp_sgd,late_cosine_filtered,42,0.0018874618444626996,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_cosine_filtered,aggregate,,0.0018874618444626996,,positive difference improves
dp_scalar_wiener - dp_sgd,late_signal_retention,42,-0.9999999973290199,,,descriptive; interpret signal and noise jointly
dp_scalar_wiener - dp_sgd,late_signal_retention,aggregate,,-0.9999999973290199,,descriptive; interpret signal and noise jointly
dp_scalar_wiener - dp_sgd,late_noise_retention,42,-0.9999999998156834,,,descriptive; interpret signal and noise jointly
dp_scalar_wiener - dp_sgd,late_noise_retention,aggregate,,-0.9999999998156834,,descriptive; interpret signal and noise jointly
dp_scalar_wiener - dp_sgd,late_snr_gain_db,42,11.582905607017885,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_snr_gain_db,aggregate,,11.582905607017885,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mse_reduction,42,0.9999975935004122,,,positive difference improves
dp_scalar_wiener - dp_sgd,late_mse_reduction,aggregate,,0.9999975935004122,,positive difference improves
dp_fisher_wiener - dp_sgd,final_accuracy,42,0.03125,,,positive difference improves
dp_fisher_wiener - dp_sgd,final_accuracy,aggregate,,0.03125,,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,42,0.0625,,,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,aggregate,,0.0625,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mean_accuracy,42,0.03125,,,positive difference improves
