seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,0,1,0.06654268218150104,0.23240365505788682,True,0.2863237334409679,0.543142651715566
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,1,2,0.2538168701744308,0.3077833175105308,True,0.8246609082889831,0.08372459197350964
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,2,3,0.2909696694092866,0.423609988150896,True,0.6868810404575234,0.16311847101374713
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,3,4,0.3671289143045974,0.5424839482517594,True,0.6767553500665385,0.169568302243542
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,4,5,0.6738789969189496,0.7258616682981003,True,0.9283848787592924,0.03227194181034624
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,5,6,0.7235931685207312,0.9431642145824795,True,0.7671974374484213,0.11509285644201854
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,6,7,1.087979693794326,1.2024124770211102,True,0.9048306754847695,0.04343268442219147
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,7,8,1.0869307523510503,1.4653512826189405,True,0.7417543938054496,0.12973987244649682
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,8,9,1.5073848604473177,1.7308441862947415,True,0.8708957584877768,0.06003382458224881
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,9,10,1.7444148946143379,1.8568679551717626,True,0.9394393875750725,0.02713123524505254
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,10,11,1.8632699364075247,1.8518334317732366,True,1.0061757739319659,0.002673856445974241
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,11,12,1.8723808185216628,1.822697919718986,True,1.027257889672874,0.011679485468817688
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,12,13,2.02698538217549,1.6105155520455707,True,1.2585941064654402,0.09988569377446467
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,13,14,1.4543340591912675,1.2509528338690137,True,1.1625810500730276,0.06542323973185309
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,14,15,1.177742974471593,0.9116352591241148,True,1.2919015172835135,0.111229408294896
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,15,16,0.8625742119243804,0.6883574604393554,True,1.2530905256315932,0.09798244638293721
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,16,17,0.5640033863877373,0.5037907011876817,True,1.1195192468977788,0.04903156441763576
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,17,18,0.5083653522061177,0.3884772566861495,True,1.3086103329256817,0.11681034521107418
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,18,19,0.4335906081955682,0.304568226905113,True,1.4236239039164504,0.1533952715851476
