seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_hold_predictor,beta_oracle_current,hold_prediction_positive,hold_ratio,hold_log10_abs_ratio_error
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,1,1.0529461785281546,3.6185505435538046,True,0.29098562141239254,0.5361284704489206
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,1,2,3.6196518773378052,3.388838834067968,True,1.0681097728665867,0.02861588874155423
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,2,3,3.381833937529101,1.8350986305915373,True,1.8428622206747434,0.2654928669404868
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,3,4,1.7090204452283733,0.8252891785974854,True,2.0708140728716695,0.3161411077052903
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,4,5,0.9912487778927825,0.42788566304618947,True,2.316620685152003,0.36485492984904017
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,5,6,0.4251036285709972,0.2507582944701848,True,1.6952724513826287,0.22923950467684304
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,6,7,0.38719647109614086,0.1915501336317199,True,2.0213845000002792,0.3056489312024224
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,7,8,0.11218032568902014,0.1413669474667607,True,0.7935399872406302,0.10043118384247363
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,8,9,0.17011494532004434,0.10948177003525073,True,1.5538198301440602,0.19140065969621248
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,9,10,0.10968838722461273,0.08748647396468931,True,1.2537753809678558,0.09821973781528488
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,10,11,0.11636169341689291,0.06676338886727695,True,1.7428967491182252,0.24127165984871907
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,11,12,0.1418034434360213,0.054720392275135185,True,2.5914186200097187,0.4135375749599766
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,12,13,0.25290913982212704,0.04277045058527677,True,5.913174548345489,0.771820698932207
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,13,14,0.25290913982212704,0.03926873642025001,True,6.4404705340024,0.8089175976169237
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,14,15,0.012300718186215294,0.03126934819925786,True,0.3933794240874914,0.4051883598182065
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,15,16,0.012300718186215294,0.026940443446119296,True,0.45658929894070405,0.3404742712633545
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,16,17,0.012300718186215294,0.021920781038052402,True,0.561144156536321,0.250925555239644
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,17,18,0.008637589203961247,0.019885215524501714,True,0.4343724207222385,0.36213775687311994
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,18,19,0.041676343741313376,0.016756285557147012,True,2.4872065828179495,0.39571185847133983
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,19,20,0.008681738978099783,0.015363431050265866,True,0.5650911537725516,0.24788149131798853
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,20,21,0.008681738978099783,0.013922500900841808,True,0.6235761117871325,0.20511053029805168
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,21,22,0.008681738978099783,0.013712496599472934,True,0.6331260624293232,0.19850980851885405
7,dp_sgd_lr0p10,dp_sgd,0.1,conv1,22,23,0.008681738978099783,0.012355760519917741,True,0.7026470741404093,0.15326275782526816
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,0,1,0.28664238648712964,0.5770779507034675,True,0.4967134615656479,0.30389406991325846
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,1,2,0.5302334506054759,0.38582466376321833,True,1.3742860433901178,0.13807713602537164
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,2,3,0.27617654519768037,0.1656053196942566,True,1.667679188733564,0.2221125091536358
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,3,4,0.10935287646402597,0.06491299647527057,True,1.6846068183847487,0.22649855415017606
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,4,5,0.025027590116051688,0.03165462151246424,True,0.790645691536602,0.1020180913226421
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,5,6,0.01992172133569501,0.017944015890014136,True,1.110215319569655,0.04540721575269928
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,6,7,0.01992172133569501,0.013505892040786449,True,1.4750392847457536,0.16880358704035592
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,7,8,0.01992172133569501,0.010087557862258229,True,1.9748805020718143,0.2955408220582242
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,8,9,0.037530289044932164,0.007970204014072049,True,4.708824137835037,0.672912470991879
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,9,10,0.037530289044932164,0.006319988305847631,True,5.938347862164063,0.7736656345185865
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,10,11,0.037530289044932164,0.005083133441409337,True,7.383298014408728,0.8682503983427103
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,11,12,0.037530289044932164,0.004275775490372382,True,8.777422745754036,0.9433670157232191
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,12,13,0.037530289044932164,0.0035541584268931866,True,10.559543086473692,1.0236451265958728
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,13,14,0.045799313871697,0.0035890293157305863,True,12.760919413770251,1.1058819660734016
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,14,15,0.017674136666290977,0.0030263642490916524,True,5.840055991804615,0.7664170109506196
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,15,16,0.015724051800417648,0.002669467807895826,True,5.890332055666155,0.7701397779583489
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,16,17,0.011368141647501941,0.0023064290882063945,True,4.928892765717948,0.6927493696330016
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,17,18,0.011368141647501941,0.0021293164348791553,True,5.338869066751516,0.7274492701209572
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,18,19,0.02079719048438413,0.0019992223836573265,True,10.402639873578385,1.0171435640145987
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,19,20,0.009709943616421362,0.0018491172194113768,True,5.251123895494465,0.7202522651914197
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,20,21,0.02176885199554146,0.0016059557073876318,True,13.555076205029534,1.132101963475397
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,21,22,0.005791453717312727,0.001770256757242837,True,3.271533179363697,0.5147513292015514
7,dp_sgd_lr0p10,dp_sgd,0.1,conv2,22,23,0.02742240828921098,0.0016004733887124661,True,17.133935798377443,1.2338571352470595
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,0,1,0.09949658640220108,0.05158041920705662,True,1.9289604065216504,0.28532331348855094
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,1,2,0.051571155839051516,0.01684635828158387,True,3.061264338383932,0.48590083229085557
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,2,3,0.007851616889288381,0.005927647890565363,True,1.3245754529018618,0.12207670241851729
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,3,4,0.007829671728828019,0.0030091474392221875,True,2.6019568289587873,0.4153000865758692
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,4,5,0.0034812910242236856,0.001783932542481439,True,1.951470104010341,0.29036190239523696
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,5,6,0.0034812910242236856,0.0012579044882051345,True,2.7675320796343077,0.4420926636708743
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,6,7,0.001557248802522687,0.0009564272089961864,True,1.6281937484370506,0.21170608290606951
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,7,8,0.0006588416433419054,0.0008627384544052536,True,0.7636632399747284,0.11709811428199629
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,8,9,0.001086994251156162,0.0007335865872355112,True,1.4817531700687876,0.17077586504343908
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,9,10,0.0003170638035320546,0.0006216702693974975,True,0.5100192483699477,0.2924134331116579
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,10,11,0.0008495819619473513,0.0005279374826609543,True,1.6092472875106685,0.2066227857704698
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,11,12,0.0011070197942612142,0.0004939885219388071,True,2.240982826719092,0.3504385284272023
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,12,13,0.000782351158326472,0.0004429777269215247,True,1.7661184993733752,0.24701983961381885
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,13,14,0.0012716681920886862,0.00048160945528355237,True,2.6404552031479094,0.4216788038295499
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,14,15,0.00010173345487167148,0.0003912005812188969,True,0.26005445736990446,0.58493569795697
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,15,16,0.0007417910614786314,0.0003689244276219205,True,2.010685674191329,0.30334418365799903
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,16,17,0.00014371497434777474,0.0003250373026322444,True,0.4421491723686176,0.35443118357676623
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,17,18,0.0009234995192839565,0.00029529619972541574,True,3.127366759689702,0.4951788158029694
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,18,19,0.0003016254475076689,0.0002957663722294449,True,1.0198098087827197,0.008519184803177548
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,19,20,0.0005912902722453958,0.0002729170975898967,True,2.1665563552705946,0.335769990146175
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,20,21,0.000709555499487895,0.00023529955470459813,True,3.0155411912219363,0.4793652651559054
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,21,22,0.000709555499487895,0.000262181458875365,True,2.70635270141357,0.43238439473610657
7,dp_sgd_lr0p10,dp_sgd,0.1,fc1,22,23,0.00023004182826572746,0.00021712699859902242,True,1.0594805332825301,0.025092981466212815
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,0,1,5.015397724930096,4.204613416320501,True,1.192832069997798,0.07657930686667498
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,1,2,4.423738422158807,1.1000800867426195,True,4.021287609393667,0.6043651357007025
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,2,3,1.074102017817054,0.2852850181485836,True,3.765013756374808,0.5757665673379825
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,3,4,0.3053574072251624,0.12538063295542495,True,2.435443178323421,0.38657800143870075
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,4,5,0.13485555409024597,0.06562260165643187,True,2.055016879645892,0.31281539346608334
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,5,6,0.05281654741405593,0.04596273000870835,True,1.1491168475860554,0.06036419203180237
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,6,7,0.05193570436930442,0.03185825888985652,True,1.6302116367646329,0.21224398889025345
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,7,8,0.04019189691884138,0.028507884821026386,True,1.4098519469672226,0.14917350840633944
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,8,9,0.030766209632616073,0.023280924065959573,True,1.3215201228889872,0.1210737805536997
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,9,10,0.022893791353971203,0.018393577315685593,True,1.2446622514505614,0.09505151831434624
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,10,11,0.015961496378661875,0.014784043213713207,True,1.0796435148306722,0.03328038039540117
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,11,12,0.012160615678491813,0.01398065830526782,True,0.8698171010952876,0.060572058112038536
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,12,13,0.009072651761267975,0.012487963524011743,True,0.7265117121637297,0.13875738000728308
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,13,14,0.014375031876191473,0.013776300551486168,True,1.0434609656248184,0.01847620737289144
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,14,15,0.015854025384318158,0.010718561074900906,True,1.479118817678121,0.1700030622925754
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,15,16,0.013544903502362551,0.0097957656167985,True,1.382730460509871,0.1407375301296686
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,16,17,0.013136233226202346,0.008292695513248603,True,1.5840727788950644,0.19977513100753086
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,17,18,0.009594657710899143,0.007841489347633405,True,1.2235759414498026,0.08763092908551262
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,18,19,0.007878084951140542,0.007389351714319986,True,1.0661402049483488,0.027814321230403772
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,19,20,0.006501869413471746,0.006997857932226889,True,0.9291228082137832,0.03192687868169665
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,20,21,0.008452686086854315,0.005944445250156611,True,1.421946999449885,0.15288340913958284
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,21,22,0.004807501028929664,0.006772729837768731,True,0.7098320978522141,0.1488443662100115
7,dp_sgd_lr0p10,dp_sgd,0.1,fc2,22,23,0.009701959920165364,0.005285607737084473,True,1.835542931439127,0.26376454665480753
