window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,10,0.08173955428915775,-0.3111824348493225,True,,0.005026711367452884,0.41121701310575115
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,1,10,0.3675037278057031,0.15007249737083272,False,0.38896063901096645,0.005026711367452884,1.7626537684577406
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,2,10,0.7776185300964003,0.8629857351831101,False,0.04523701608642011,0.005026711367452884,3.507516693780042
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,3,10,1.2424697250960697,1.5625078234547936,False,0.09953638532290296,0.005026711367452884,5.269692427573978
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,4,10,1.8195184828091457,1.901039769878269,False,0.019034730888370578,0.005026711367452884,7.215755842576171
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,5,10,2.2992884934321873,2.338823543217825,False,0.007403990971872907,0.005025799114322868,8.675016103316915
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,6,10,2.7885715728629585,2.813148830034246,False,0.003810913395112499,0.005025799114322868,10.047416446668873
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,7,10,3.2774868821619756,3.486446280836049,False,0.026842015841038444,0.005025799114322868,11.321682044810272
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,8,10,3.3076483715748886,2.812850856699781,False,0.07037262893161085,0.005025799114322868,11.397489280446875
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,9,10,3.596590315947777,3.8562250673010507,False,0.030271402844207967,0.005025799114322868,12.108680788580745
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,10,10,3.4140660034701136,3.6621586255883063,False,0.030465238752087734,0.005026633453952267,11.663941290433598
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,11,10,3.3786013155871037,3.250625059467795,False,0.01677006776977734,0.005026633453952267,11.576016436937865
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,12,10,3.100817549630745,3.290255848305235,False,0.025753456394520216,0.005026633453952267,10.872672947398483
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,13,10,3.124408352322357,3.0127529542175715,False,0.015804269132520452,0.005026633453952267,10.93344860341522
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,14,10,2.6550970598779267,2.8095354229410385,False,0.024554110298224525,0.005026633453952267,9.684658650594868
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,15,10,2.1572629878237923,1.911675513785863,False,0.05248891493243407,0.005027004067025276,8.257158112877628
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,16,10,2.007423606754827,1.8208490844447058,False,0.04236507492339882,0.005027004067025276,7.803187210828457
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,17,10,1.6143902725777697,1.4885406340412457,False,0.03524783760835608,0.005027004067025276,6.550618630196615
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,18,10,1.4597675893665965,1.3703128497041988,False,0.027463986741343947,0.005027004067025276,6.0304981668757724
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,19,10,1.3421934295239353,1.3664032323701243,False,0.007763772243414059,0.005027004067025276,5.623484860570736
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,20,10,1.1854493935988868,0.7585318695133084,False,0.19390918656490935,0.005025964898954238,5.06331788629424
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,21,10,1.0094409968616016,1.5630705852135849,False,0.18989765140772819,0.005025964898954238,4.4107744269510185
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,22,10,0.8989782387739149,0.9284615078256628,False,0.014014724402099367,0.005025964898954238,3.9867837793218244
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,23,10,0.8159671144808299,0.7981022366958918,False,0.009614128022510514,0.005025964898954238,3.6602798520950346
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,24,10,0.7216427368817484,0.5050975674107516,False,0.15494696801489463,0.005025964898954238,3.2805797294614982
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,25,10,0.6441297442701106,0.601339839836148,False,0.029853376649264976,0.005027059388205135,2.961835387121777
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,26,10,0.5533199610792603,0.5808709948571249,False,0.021103353290267003,0.005027059388205135,2.578797567341548
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,27,10,0.46289769691700555,0.7602374639296569,False,0.2154642474829132,0.005027059388205135,2.18733559034118
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,28,10,0.4246298513924846,0.3431810512684872,False,0.09248722143544569,0.005027059388205135,2.018488874325019
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,29,10,0.366705338370853,0.42063542941621407,False,0.05958861746909764,0.005027059388205135,1.759162917038298
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,30,10,0.33937044053872645,0.4667662457003111,False,0.13842543021069864,0.005026775839161793,1.6350841409372063
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,31,10,0.31687325895527807,0.17811790803492267,False,0.2501780047010491,0.005026775839161793,1.5322451950244114
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,32,10,0.300582648688723,0.4539406898548003,False,0.17903520624803212,0.005026775839161793,1.4573216103123992
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,33,10,0.26222305848574284,0.4164741290536432,False,0.20091715009755384,0.005026775839161793,1.2793570301826669
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,34,10,0.23386829487562522,0.3399855884543855,False,0.162489159015573,0.005026775839161793,1.1463890475594563
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,35,10,0.2442762887723354,0.25265026481879266,False,0.014638444538025796,0.005026490603195488,1.1952737560274835
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,36,10,0.21203397647203767,0.23014069012154773,False,0.03558795292084974,0.005026490603195488,1.0431007533020895
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,37,10,0.17448348859512575,0.2675772200804609,False,0.1856948015700635,0.005026490603195488,0.8638259906322956
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,38,10,0.177149341657686,0.5723495628879173,False,0.5093218127798814,0.005026490603195488,0.8766273312432232
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,39,10,0.1661094037796117,-0.2006477187923577,True,,0.005026490603195488,0.8235395462210038
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,40,10,0.16484378612691875,-0.09639492962875036,True,,0.005026248859123228,0.8174027990789101
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,41,10,0.14160140088102677,0.06656219695120354,False,0.3278399020681111,0.005026248859123228,0.7049481306758764
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,42,10,0.13525681782674004,0.22242782847753018,False,0.21602995632267746,0.005026248859123228,0.6740969265023303
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,43,10,0.13958121453634603,0.1445960540356621,False,0.015329468482264054,0.005026248859123228,0.695131971411498
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,44,10,0.1315309635217407,0.21071677432142125,False,0.20467110791152185,0.005026248859123228,0.6559485369082203
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,45,10,0.1335545339612117,0.1644786578297557,False,0.09045091721677641,0.00502716270954523,0.665926339686471
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,46,10,0.12257565299507658,0.39497792148260036,False,0.5081686045327248,0.00502716270954523,0.6123423886481187
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,47,10,0.11416021628559783,0.1520555638598277,False,0.1244875331123556,0.00502716270954523,0.57113332658876
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,48,10,0.10640113072592808,-0.10095678269314078,True,,0.00502716270954523,0.5330327241083129
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,49,10,0.10472582979040032,-0.12129257451172469,True,,0.00502716270954523,0.5247928829863285
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,50,10,0.11179448958384888,0.11107378297622028,False,0.0028088340275560617,0.005028390451675135,0.5596613063478283
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,51,10,0.102651231094674,0.2895763834188914,False,0.45039897758913233,0.005028390451675135,0.5147059571959066
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,52,10,0.0826646066921935,0.0871945199331881,False,0.02316958715628421,0.005028390451675135,0.41594024304036264
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,53,10,0.08764007394829183,0.31839211511787946,False,0.5602595686958656,0.005028390451675135,0.4405909914719958
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,54,10,0.08073886515806851,-0.10308937678709557,True,,0.005028390451675135,0.40638777721764213
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,55,10,0.07693444831021244,0.20680708597144407,False,0.4294445713560317,0.005027528784538188,0.3874319603227549
