seed,n_runs,window_size,method,learning_rate,layer,sample_count,median_beta_oracle,median_beta_dp_raw,negative_rate,positive_coverage,median_log_error,mean_log_error
42,1,1,dp_sgd,0.1,conv1,4,13.98045670675333,-1283.2067251321887,0.5,0.5,2.53407568000215,2.53407568000215
42,1,1,dp_sgd,0.1,conv2,4,2.5055086999930847,81.9302097203807,0.5,0.5,2.5792122157631536,2.5792122157631536
42,1,1,dp_sgd,0.1,fc1,4,0.0734368249182384,8.431385149019034,0.5,0.5,3.629386554746371,3.629386554746371
42,1,1,dp_sgd,0.1,fc2,4,0.10483048146638146,1.0246118278137464,0.25,0.75,2.1036052619366594,2.393573813122799
42,1,2,dp_sgd,0.1,conv1,2,12.888421312850564,-1264.360372274712,1.0,0.0,,
42,1,2,dp_sgd,0.1,conv2,2,4.294214996164708,3255.1673001537715,0.0,1.0,2.180013351167612,2.180013351167612
42,1,2,dp_sgd,0.1,fc1,2,0.1138756173025141,136.16767080517664,0.0,1.0,2.8944766556564216,2.8944766556564216
42,1,2,dp_sgd,0.1,fc2,2,0.16825070477215884,51.55910171733073,0.0,1.0,2.239986263625714,2.239986263625714
42,1,4,dp_sgd,0.1,conv1,1,13.54003296737972,-1253.114854743076,1.0,0.0,,
42,1,4,dp_sgd,0.1,conv2,1,2.763518745576892,951.1477428398432,0.0,1.0,2.536785566777392,2.536785566777392
42,1,4,dp_sgd,0.1,fc1,1,0.0239360217222566,21.47264622438552,0.0,1.0,2.952833598568568,2.952833598568568
42,1,4,dp_sgd,0.1,fc2,1,0.0152484904411727,2.5052920759678368,0.0,1.0,2.215631512923298,2.215631512923298
42,1,1,dp_fisher_wiener,0.1,conv1,4,1.434503895537349,-1391.5934398727545,0.5,0.5,4.057616364237247,4.057616364237247
42,1,1,dp_fisher_wiener,0.1,conv2,4,2.2696134121508407,878.323667788067,0.5,0.5,3.2805336631188746,3.2805336631188746
42,1,1,dp_fisher_wiener,0.1,fc1,4,0.2890250182776075,266.5040987625521,0.5,0.5,3.3379304523198776,3.3379304523198776
42,1,1,dp_fisher_wiener,0.1,fc2,4,0.20530042849290508,68.40573291434096,0.25,0.75,2.414535867776018,2.615443698223502
42,1,2,dp_fisher_wiener,0.1,conv1,2,1.4418504029683863,-3185.7172974579717,1.0,0.0,,
42,1,2,dp_fisher_wiener,0.1,conv2,2,2.470604488392433,3351.293567957328,0.0,1.0,2.7341420672846475,2.7341420672846475
42,1,2,dp_fisher_wiener,0.1,fc1,2,0.30024103347192876,181.1771006006159,0.0,1.0,2.7280911762072386,2.7280911762072386
42,1,2,dp_fisher_wiener,0.1,fc2,2,0.2423066514010072,85.5089098855263,0.0,1.0,2.5471738549009038,2.5471738549009038
42,1,4,dp_fisher_wiener,0.1,conv1,1,1.4419861316875968,-3186.9481581078303,1.0,0.0,,
42,1,4,dp_fisher_wiener,0.1,conv2,1,2.470993649496972,3346.7121848504985,0.0,1.0,3.131746735652521,3.131746735652521
42,1,4,dp_fisher_wiener,0.1,fc1,1,0.299539206131946,183.3068270120812,0.0,1.0,2.786724965521279,2.786724965521279
42,1,4,dp_fisher_wiener,0.1,fc2,1,0.2437506767636991,84.9854655103084,0.0,1.0,2.542398827442387,2.542398827442387
42,1,1,dp_fisher_wiener,0.8,conv1,4,2.6173372676765476,-1386.5381816683444,0.5,0.5,3.742246669184693,3.742246669184693
42,1,1,dp_fisher_wiener,0.8,conv2,4,3.6954204979606615,874.0395888952944,0.5,0.5,3.042133493441775,3.042133493441775
42,1,1,dp_fisher_wiener,0.8,fc1,4,0.2652812787658976,266.6825246933615,0.5,0.5,3.437706440755372,3.437706440755372
42,1,1,dp_fisher_wiener,0.8,fc2,4,0.2557484686770642,16.76282229462266,0.25,0.75,1.860559265583818,2.259086440142451
42,1,2,dp_fisher_wiener,0.8,conv1,2,3.316431400009134,-3148.8983048449813,1.0,0.0,,
42,1,2,dp_fisher_wiener,0.8,conv2,2,5.099907900841839,3356.6894016271704,0.0,1.0,2.517218220864625,2.517218220864625
42,1,2,dp_fisher_wiener,0.8,fc1,2,0.28371842562939975,192.0391829281713,0.0,1.0,2.7960366760062954,2.7960366760062954
42,1,2,dp_fisher_wiener,0.8,fc2,2,0.25084615385966713,59.74868033194048,0.0,1.0,2.218707312481811,2.218707312481811
42,1,4,dp_fisher_wiener,0.8,conv1,1,3.3175548767000813,-3149.81455827854,1.0,0.0,,
42,1,4,dp_fisher_wiener,0.8,conv2,1,5.0976740983340205,3358.955818469544,0.0,1.0,2.8188322245033466,2.8188322245033466
42,1,4,dp_fisher_wiener,0.8,fc1,1,0.28123130318798,201.2419123663865,0.0,1.0,2.854654776372217,2.854654776372217
42,1,4,dp_fisher_wiener,0.8,fc2,1,0.2477697744727317,32.77350380381348,0.0,1.0,2.12147454861009,2.12147454861009
