method,learning_rate,seed,layer,number_of_intervals,median_beta_train,mean_beta_train,median_beta_raw,raw_negative_rate,fallback_rate,accepted_update_rate,median_beta_train_to_oracle_ratio,median_lag_log_error,median_observability_snr
dp_sgd,0.5,42,conv1,2,,,,0.0,0.0,0.0,,,
dp_sgd,0.5,42,conv2,2,,,,0.0,0.0,0.0,,,
dp_sgd,0.5,42,fc1,2,,,,0.0,0.0,0.0,,,
dp_sgd,0.5,42,fc2,2,,,,0.0,0.0,0.0,,,
dp_fisher_wiener_adaptive_beta,0.5,42,conv1,2,1.0,1.0,-1397.3954742359283,0.5,0.5,0.0,,,
dp_fisher_wiener_adaptive_beta,0.5,42,conv2,2,3212.8466644039177,3212.8466644039177,6424.693328807835,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,0.5,42,fc1,2,133.82023613573904,133.82023613573904,266.6404722714781,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,0.5,42,fc2,2,51.78010651695236,51.78010651695236,102.56021303390472,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,1.0,42,conv1,2,1.0,1.0,-1370.4962578856082,0.5,0.5,0.0,,,
dp_fisher_wiener_adaptive_beta,1.0,42,conv2,2,3215.9963221191683,3215.9963221191683,6430.992644238337,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,1.0,42,fc1,2,133.81873427343302,133.81873427343302,266.63746854686605,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,1.0,42,fc2,2,51.93466763418945,51.93466763418945,102.8693352683789,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,5.0,42,conv1,2,1.0,1.0,-1276.4368979519495,0.5,0.5,0.0,,,
dp_fisher_wiener_adaptive_beta,5.0,42,conv2,2,3210.472383036682,3210.472383036682,6419.944766073364,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,5.0,42,fc1,2,133.7127652526214,133.7127652526214,266.4255305052428,0.0,0.0,0.5,,,
dp_fisher_wiener_adaptive_beta,5.0,42,fc2,2,52.59778164756346,52.59778164756346,104.19556329512692,0.0,0.0,0.5,,,
