seed,run_id,method,learning_rate,config_fingerprint,step,layer,r,dimension,trace_A,trace_G,trace_F,clean_signal_energy,noisy_gradient_energy,expected_noise_energy,noise_debiased_energy_raw,beta_oracle_step,beta_dp_step_raw,beta_dp_step_positive,beta_dp_step_negative,refresh_index,active_beta_train,active_beta_source_interval,diagnostic_valid,oracle_diagnostic_error,dp_observation_recorded,optimizer_step_completed
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,conv1,1.7408297026122455e-05,160,3.1423261165618896,0.00016000015602912754,0.0005027726689443048,5.612965274815162e-05,0.002762521917765312,0.0027853275241795927,-2.2805606414280644e-05,0.11164022273925446,-0.04535967808705004,0.0,True,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,conv2,1.7408297026122455e-05,4640,19.253786087036133,0.00032000296050682664,0.006161268548816712,0.0008475366401196474,0.08190181340765737,0.08077449820120819,0.001127315206449181,0.13755878897413407,0.18296803613043044,0.18296803613043044,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,fc1,1.7408297026122455e-05,200832,47.267127990722656,0.0012827191967517138,0.06063045244902021,0.008834864903268479,3.5046737963806693,3.496143108350225,0.008530688030444544,0.14571662500287427,0.1406997257296964,0.1406997257296964,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,fc2,1.7408297026122455e-05,1290,1.6695542335510254,0.00011373194865882397,0.00018988165637334742,0.0007325941570435789,0.02363099971462527,0.022456703163697966,0.001174296550927302,3.858161820555979,6.184360160722356,6.184360160722356,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,conv1,1.7408297026122455e-05,160,3.1423261165618896,0.00016000015602912754,0.0005027726689443048,3.732504571367189e-05,0.002902188095007833,0.0027853275241795927,0.00011686057082824046,0.07423841433553863,0.23243222642475386,0.23243222642475386,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,conv2,1.7408297026122455e-05,4640,19.253786087036133,0.00032000296050682664,0.006161268548816712,0.0008877531900025094,0.08462364400493275,0.08077449820120819,0.0038491458037245574,0.14408610547790598,0.624732678542927,0.624732678542927,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,fc1,1.7408297026122455e-05,200832,47.267127990722656,0.0012827191967517138,0.06063045244902021,0.00940895790108923,3.5175603505250237,3.496143108350225,0.0214172421747989,0.15518534863318967,0.35324232806619943,0.35324232806619943,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,fc2,1.7408297026122455e-05,1290,1.6695542335510254,0.00011373194865882397,0.00018988165637334742,0.0012086910664952679,0.023618751831637724,0.022456703163697966,0.001162048667939758,6.36549674982151,6.119857442442597,6.119857442442597,False,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,conv1,1.7408297026122455e-05,160,3.1423261165618896,0.00016000015602912754,0.0005027726689443048,1.8209073412288653e-05,0.001954371033333287,0.0027853275241795927,-0.0008309564908463058,0.036217309605398984,-1.652747935943105,0.0,True,0,1.0,,True,,True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,conv2,1.7408297026122455e-05,4640,19.253786087036133,0.00032000296050682664,0.006161268548816712,0.0006666736831608588,0.08141284699960093,0.08077449820120819,0.0006383487983927377,0.10820396447236427,0.1036067156195187,0.1036067156195187,False,0,1.0,,True,,True,True
