seed,run_id,learning_rate,step,refresh_index,interval_index,layer,beta_train,beta_source_interval,trace_F,sum_a,sum_a_H2,H_mean,H_q50,H_q90,mean_H2,sum_H2,model_signal_retention,gamma_model_raw,model_noise_retention_before,model_noise_retention_after_raw
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,0,0,0,conv1,1.0,,0.0005027726689443,0.0005027725508821132,5.3024591743261277e-05,0.12761729474118672,0.05734092836177828,0.3685759271890312,0.0338531087336518,5.416497397384288,0.10546437280680848,3.0792653346011822,0.0338531087336518,0.320990945403568
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,0,0,0,conv2,1.0,,0.0061612685488167,0.006161266014796353,0.0033316566271422406,0.025473982896930928,0.003503526793383106,0.04135255393964607,0.00955699161442529,44.344441090933344,0.5407422142042282,1.3598933889505915,0.00955699161442529,0.01767384044260283
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,0,0,0,fc1,1.0,,0.0606304524490202,0.06063010938117854,0.045115638528179375,0.0036188416144407073,0.0005288194632074892,0.0032491931611197283,0.0008187544370321959,164.43209109804997,0.7441127682046482,1.1592593881593598,0.0008187544370321959,0.0011003096197470697
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,0,0,0,fc2,1.0,,0.0001898816563733,0.00018988159910597927,4.439294187691452e-05,0.004521857554866869,0.0002885343297180261,0.0015733204777743516,0.0019567718400414695,2.5242356736534957,0.23379275341017816,2.068161632878738,0.0019567718400414695,0.008369685593327214
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,50,1,1,conv1,0.10826514136136386,0,0.0005026438909801,5.4418799849431486e-05,1.5507637410691e-07,0.018616065624999716,0.006537171210001526,0.05948304039729579,0.0008659245554217884,0.13854792886748615,0.002849683832351736,18.73275532908422,0.0008659245554217884,0.3038668871231141
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,50,1,1,conv2,0.0744847402450761,0,0.0103355429837703,0.0007698402920603903,0.00010576602144013885,0.006510635934969472,0.00028729719737852753,0.003646776588575387,0.0017106998258055617,7.937647191737806,0.1373869652328382,2.697908614114681,0.0017106998258055617,0.012451689451807402
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,50,1,1,fc1,0.31016091495165043,0,2.314029859986803,0.7176937263227587,0.6456462312874962,0.013639115720578961,0.0004044271981431693,0.006914925213424518,0.006968591916783907,1399.5162518315456,0.8996124775892752,1.054319562527707,0.006968591916783907,0.007746215276446477
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,50,1,1,fc2,34.122822974099414,0,0.039805529774588,1.3582764053689769,1.3509268697797332,0.20480917666704404,0.08430405228544446,0.7145002396208274,0.12246662760702082,157.98194961305686,0.9945890721798653,1.002716492954905,0.12246662760702082,0.12313289079137751
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,100,2,2,conv1,0.837836792208352,1,0.0005026900773721,0.00042117226444491826,3.53073224389725e-05,0.11183804975228476,0.048636674876782096,0.3284687048860436,0.02669680428417217,4.271488685467547,0.08383107203297349,3.453802424394265,0.02669680428417217,0.31845953578729674
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,100,2,2,conv2,0.3372000625779098,1,0.0100966602588885,0.0034045944050860207,0.0014281776936884844,0.01768799018387358,0.0012945629477838538,0.01650674225521184,0.006780335282838807,31.460755712372066,0.4194854140496069,1.5439796350214872,0.006780335282838807,0.01616345898033296
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,100,2,2,fc1,0.01162813439482397,1,0.6687432554442125,0.00777616703093679,0.0023421412979157214,0.0012037814780460779,1.2141897437339655e-05,0.00020382344348650265,0.00035051008400193584,70.39364119027678,0.3011948288401883,1.8221169342949621,0.00035051008400193584,0.0011637320778435873
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,100,2,2,fc2,0.7821599558182407,1,0.0264107272930882,0.02065740238479705,0.0175291725419927,0.0920887191162117,0.01492173777917101,0.2607216778167957,0.04721177481654155,60.903189513338596,0.8485661563572683,1.0855682844801688,0.04721177481654155,0.05563711734534953
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,150,3,3,conv1,0.17791599131863828,2,0.000502832279885,8.946191643224714e-05,6.33347376918606e-07,0.02972669876917905,0.010748487234074563,0.09424687444437521,0.0021649076161391876,0.34638521858227,0.007079519444436044,11.884970567044704,0.0021649076161391876,0.3057986679930144
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,150,3,3,conv2,0.23232968918999616,2,0.0114344061293591,0.002656552358540719,0.0009853839624115843,0.015077142948039213,0.0009207388067306343,0.01195177242740016,0.0056121641147701025,26.040441492533276,0.37092585781101234,1.6419368322114682,0.0056121641147701025,0.015130150666469618
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,150,3,3,fc1,0.026455286677372677,2,2.603296215340123,0.06886982391594286,0.045122465250724476,0.004841379456727668,3.265273227082915e-05,0.0008233065717714304,0.0019510652256710418,391.8363314019667,0.6551848499830265,1.2354298111100808,0.0019510652256710418,0.0029778851353501026
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,150,3,3,fc2,0.22278538577547483,2,0.0683691349010953,0.01523164493796294,0.012251716888617401,0.08885703699150911,0.014474532843072856,0.2602123226848743,0.04383955821319992,56.55303009502789,0.8043594069135338,1.1150001540595385,0.04383955821319992,0.0545024498208082
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,200,4,4,conv1,0.19081477789472218,3,0.0005028570532588,9.595255867666001e-05,7.68783148263455e-07,0.031718547630061364,0.011533983060919784,0.10045695348913646,0.0024547317067852327,0.39275707308563723,0.00801211722611893,11.171882324836888,0.0024547317067852327,0.3063774078071378
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,200,4,4,conv2,0.105343610586113,3,0.011588373192809,0.0012207607936927998,0.00026096558518101524,0.009067602321448357,0.0004278664482243572,0.0055298031541088245,0.002814801529838313,13.060679098449771,0.21377290827926632,2.1628363857610933,0.002814801529838313,0.013167250951000508
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,200,4,4,fc1,0.00492444521144334,3,3.626525455074841,0.017858265821627833,0.00918753886292129,0.001841466468983003,1.5454174386254479e-06,0.000134150779141744,0.0006386170659264489,128.2547425841406,0.5144698233685391,1.3941838480305488,0.0006386170659264489,0.0012413110291776576
42,dp_fisher_wiener_adaptive_beta_lr5p00,5.0,200,4,4,fc2,0.07550217609206342,3,0.0962096876240892,0.007264038666659093,0.0053872813438409686,0.057459907947226815,0.004554613971156455,0.1447850859813266,0.02611234703328016,33.68492767293141,0.7416372063887581,1.161192562087962,0.02611234703328016,0.03520905748570596
