seed,run_id,method,learning_rate,config_fingerprint,step,refresh_index,refresh_time,diagnostic_spectrum_time,beta_controller_time,active_state_bytes,measurement_only
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,0,0.15259835124015808,0.00471012108027935,0.0,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,50,1,0.14385074842721224,0.004614329896867275,1.8771737813949585e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,100,2,0.14500189386308193,0.004719100892543793,1.830700784921646e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,150,3,0.1450390638783574,0.0047707147896289825,1.4057382941246033e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,200,4,0.14765885099768639,0.004727191291749477,1.894775778055191e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,250,5,0.14591180998831987,0.004627624526619911,4.083849489688873e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,300,6,0.14642295613884926,0.004664323292672634,3.8892962038517e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,350,7,0.14555667992681265,0.004613363184034824,1.461617648601532e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,400,8,0.14648254867643118,0.004666325636208057,1.5764497220516205e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,450,9,0.1462068846449256,0.004599845968186855,1.536402851343155e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,500,10,0.1470946967601776,0.004718882031738758,2.7519650757312775e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,550,11,0.14604488387703896,0.004629584029316902,1.4401040971279144e-05,10905008,False
7,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,600,12,0.14660105668008327,0.004697198048233986,1.988280564546585e-05,10905008,False
