seed,run_id,method,learning_rate,config_fingerprint,refresh_step,interval_index,layer,beta_train,beta_source_interval,beta_raw_previous,beta_update_accepted,beta_fallback_used,beta_fallback_reason,previous_beta_train,numerator_previous,denominator_previous,previous_interval_n_steps,accepted_update_count,fallback_count,trace_A,trace_G,trace_F,beta_scaled_trace_F,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,H_beta1_mean,H_beta1_q10,H_beta1_q50,H_beta1_q90,H_fro_ratio_vs_beta1,H_hash,H_hash_copy,H_beta1_hash,H_beta1_hash_copy,H_stats_digest,H_beta1_stats_digest,beta_algorithm_active
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,0,0,conv1,1.0,,,False,False,initial,1.0,,,0,0,0,3.14047908782959,0.0001600001414772123,0.000502477098358961,0.000502477098358961,0.12777050188742578,0.13205590320786348,0.0242364089936018,0.4002205431461334,0.03381606731563807,0.03495381027460098,0.05770395137369633,0.1268327534198761,0.36839202046394326,0.12777050188742578,0.03381606731563807,0.05770395137369633,0.36839202046394326,0.9999999999995697,79af817690e2b02b886de10ef1a77e6ee8a4809437fca404a9bfc52bee26c868,79af817690e2b02b886de10ef1a77e6ee8a4809437fca404a9bfc52bee26c868,79af817690e2b02b886de10ef1a77e6ee8a4809437fca404a9bfc52bee26c868,79af817690e2b02b886de10ef1a77e6ee8a4809437fca404a9bfc52bee26c868,29f6a8c44420ac8ee0ffd46e029bebce7cbc1b30d75176c0e0d644fa1d072492,09d6947eab66f5ec85984bbb89ae1fe2360fa4efb31674995d78e91aac067823,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,0,0,conv2,1.0,,,False,False,initial,1.0,,,0,0,0,13.789117813110352,0.0003200028440915048,0.004412556917708144,0.004412556917708144,0.02205550540429299,0.08384752522140099,0.00048000793321989477,0.8317086100578308,0.0008003784460015595,0.0014124373265076429,0.0029792150016874075,0.007765520713292062,0.036443356424570084,0.02205550540429299,0.0008003784460015595,0.0029792150016874075,0.036443356424570084,0.9999999999998307,03d5eca9d7189d0ab378ef42b7260bc27e013a86f40d58bb77986a101e44ca70,03d5eca9d7189d0ab378ef42b7260bc27e013a86f40d58bb77986a101e44ca70,03d5eca9d7189d0ab378ef42b7260bc27e013a86f40d58bb77986a101e44ca70,03d5eca9d7189d0ab378ef42b7260bc27e013a86f40d58bb77986a101e44ca70,213d329a9de8bb61606646a8ad95c9581d3e02ed799068b3982a60a708b94697,4b5d95965810e664215d893418ea4d1495ef00d723c6bc4078152ac16873266c,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,0,0,fc1,1.0,,,False,False,initial,1.0,,,0,0,0,45.48963165283203,0.0012824676232412457,0.058338979787927236,0.058338979787927236,0.003585194755807704,0.02835422638120063,4.8109100134752225e-06,0.9560893774032593,1.6378116561099888e-05,0.00014390569776878692,0.0005422421963885427,0.0014727845846209675,0.003421448078006506,0.003585194755807704,1.6378116561099888e-05,0.0005422421963885427,0.003421448078006506,0.999999999999922,286be4666eded8f1c1a23b2f65d9f02c76c6970bb6bae78eb8fffbb870fb8442,286be4666eded8f1c1a23b2f65d9f02c76c6970bb6bae78eb8fffbb870fb8442,286be4666eded8f1c1a23b2f65d9f02c76c6970bb6bae78eb8fffbb870fb8442,286be4666eded8f1c1a23b2f65d9f02c76c6970bb6bae78eb8fffbb870fb8442,90964ba373e69c7c356b0681a99b061f573cb1343dae3792766aa70925342830,991df530ac7ff22d816014f6ab84cf4a25163fa616aeb8d6f78d51c7f525aa45,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,0,0,fc2,1.0,,,False,False,initial,1.0,,,0,0,0,1.7096904516220093,0.00011373334564268589,0.00019444881507632572,0.00019444881507632572,0.004551988365793907,0.0446380594646296,5.740497272199718e-06,0.516076385974884,7.069127468639636e-06,5.533669718715828e-05,0.00027902767760679126,0.0006395657255779952,0.0015752283274196091,0.004551988365793907,7.069127468639636e-06,0.00027902767760679126,0.0015752283274196091,0.9999999999993794,a3e2894a927ceca3c268b44766ce8f9ca4c814f5068a2ae02268fa284eebe218,a3e2894a927ceca3c268b44766ce8f9ca4c814f5068a2ae02268fa284eebe218,a3e2894a927ceca3c268b44766ce8f9ca4c814f5068a2ae02268fa284eebe218,a3e2894a927ceca3c268b44766ce8f9ca4c814f5068a2ae02268fa284eebe218,a6397978f869951374447ade00b984ded9689ca84658e25b2af3a8f8a0ee3a3d,0adc1eae5a9a324d29beabcb8ebc55b94e0bb7df85271c53c96c241835cdd9d4,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,50,1,conv1,0.13464373141915065,0,0.13464373141915065,True,False,none,1.0,0.0033827695737859045,0.025123854917948052,50,1,0,3.141551971435547,0.00016000017058104277,0.0005026488513188987,6.767851693512638e-05,0.02290150019689463,0.02774028688521421,0.003333325032144785,0.0825243890285492,0.004704173817299307,0.004859400098212063,0.008191697532311082,0.019188781268894672,0.07286584079265589,0.12779067624360324,0.03390344250947237,0.05777010694146156,0.3684195786714552,0.1957198841246315,b5b22c21e0f3427ae3814e1250a9f5976540652d9bea074f649ef70947b86208,b5b22c21e0f3427ae3814e1250a9f5976540652d9bea074f649ef70947b86208,f106c5e314449dfc331fa4e547494031466a6f034a6418f4afbb26d68c9a1d22,f106c5e314449dfc331fa4e547494031466a6f034a6418f4afbb26d68c9a1d22,8cc77088015b8148a2a6c2a4233b3b4313126ff74b9b208e0072200a203a39bd,062f5562b846bd99a483da8d3f0b763c8bc2ec62753913db9a7887ee95abfcdd,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,50,1,conv2,0.11915033731694513,0,0.11915033731694513,True,False,none,1.0,0.02628788225875725,0.22062784588540718,50,1,0,17.659536361694336,0.00032000301871448755,0.005651104944840446,0.0006733310603911957,0.005942821496559002,0.03715926093407838,6.728724838467315e-05,0.43028876185417175,0.00010184623606619425,0.0001817653792386409,0.0003825759486062452,0.0010407155496068299,0.004687876580283046,0.025420696619867473,0.0008541277493350208,0.0032018119236454368,0.03802636042237282,0.3914778918109405,5b531c19ed1fd3d53424783477b4f795f707213497ae26351302fec0b6d77aad,5b531c19ed1fd3d53424783477b4f795f707213497ae26351302fec0b6d77aad,b3cc564c23b03c3cac0359ad600bcdf953a9e5feb39654bc9ae65435d47a9050,b3cc564c23b03c3cac0359ad600bcdf953a9e5feb39654bc9ae65435d47a9050,5f8ea0c1b57ed4983e53faccb6e30d7013184cfd53319e8b5a9454034e781622,b2d7c7c744293c32b1ff51d53c95396b92a5c3e0966c8cf5bad9007f6554b492,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,50,1,fc1,0.19472902299448222,0,0.19472902299448222,True,False,none,1.0,0.5680146268298958,2.916948989396362,50,1,0,239.6478729248047,0.001282617449760437,0.30737654361132627,0.05985513402885442,0.0031718142214905974,0.03230847663749403,8.980503594102629e-07,0.957736611366272,4.385649435789673e-06,3.112910508207278e-05,0.00013768355711363256,0.0004155283313593827,0.0010898585547693073,0.009065050334131523,2.2521397295349743e-05,0.0007066497055348009,0.005571684194728732,0.5435350455222875,ecd3a36969d0113e5cea9bc02c1d059ff0d71491863c8cfb88f59b727604c692,ecd3a36969d0113e5cea9bc02c1d059ff0d71491863c8cfb88f59b727604c692,a188a1384a3672523bea96ae08890f0446dc644647154968a1e13a04cb5f3a29,a188a1384a3672523bea96ae08890f0446dc644647154968a1e13a04cb5f3a29,f4a046fdfd9a1e6178f479c7c4a303fb8196ea2a7916bfc921d75ec0de5703c0,f1074af82891297500e5e41d6314a137db312c8882ca0484c0efbe1833c58e2e,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,50,1,fc2,7.417499677659432,0,7.417499677659432,True,False,none,1.0,0.07211620115749523,0.009722440753816286,50,1,0,11.172300338745117,0.00011374321184121072,0.0012707733241835162,0.009425960722509437,0.0309478520584706,0.10446282845635246,4.224253643769771e-05,0.9809795618057251,4.9126273006550035e-05,0.00017833921083365567,0.004213128238916397,0.011085555190220475,0.06006715074181604,0.010607450868732583,6.6233050802111395e-06,0.0005700764886569232,0.00854209689423449,1.4020688871881841,301a5578e16a5850a20eba6aaaca9cfc33a825c79831d2ab736a7f06244f7402,301a5578e16a5850a20eba6aaaca9cfc33a825c79831d2ab736a7f06244f7402,dd751774906d775dedc7b6a466227b50fa21ba8e66dbbf946f3a5c104ad7ff11,dd751774906d775dedc7b6a466227b50fa21ba8e66dbbf946f3a5c104ad7ff11,d4b6e6bd5e01db6ba6402a24b18d2163cce60b0e8836a88d5178b630af21fe18,9b83d47c0066613e3e57a1279a41ba6344e6544237abe46e86f82ae7d4a419b9,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,100,2,conv1,0.3751362148846527,1,0.3751362148846527,True,False,none,0.13464373141915065,0.009428089374994512,0.025132442565944935,50,2,0,3.141097068786621,0.00016000043251551688,0.0005025768895790816,0.00018853479204519874,0.05806075356085785,0.06728899979536859,0.009134585037827492,0.20119065046310425,0.012847743462771179,0.013292921241372824,0.0223188828676939,0.05142906494438648,0.17968147844076143,0.12760237853508444,0.033524217456579214,0.05734511464834213,0.3685418516397474,0.4831907477058675,ec4594484ebd34a901a2891e826f776bb5b63633c20497b29654e46c45479bfb,ec4594484ebd34a901a2891e826f776bb5b63633c20497b29654e46c45479bfb,48c9378726aa652e5a64c1af312fac76892ee65952bc32445c76aee2f44ec7bc,48c9378726aa652e5a64c1af312fac76892ee65952bc32445c76aee2f44ec7bc,680da782109b0fbc1405da470ef800884efd2a58103d6a5d94728e24548dea78,4c9334f392347a0ee595fbd73183aecc2d3d0319991e4504834e2e59f80b6cd2,True
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,79e3330711db4ea5444cf8b53c47b502b14d9664e819b1951efa10b9daf337ad,100,2,conv2,0.054367656624501215,1,0.054367656624501215,True,False,none,0.11915033731694513,0.015361866659505313,0.2825552472420223,50,2,0,27.123579025268555,0.00032000429928302765,0.00867966190002889,0.0004718928777975365,0.004419360169451685,0.03032172575538882,3.340912007843144e-05,0.3553663492202759,4.919379862258211e-05,8.84394466993399e-05,0.00018860415002563968,0.0005431369208963588,0.002515408303588629,0.030786517157459205,0.0009040621400345117,0.0034577077021822333,0.044327256828546525,0.2733680403821957,fadf13392f58e53fdc2377389174cffde09643f324e9a42fdd89d12aca6ecbc6,fadf13392f58e53fdc2377389174cffde09643f324e9a42fdd89d12aca6ecbc6,269f7a3318ef30a8f8c7998f017e26d1de0dfac088c5022f912fb07105762bd3,269f7a3318ef30a8f8c7998f017e26d1de0dfac088c5022f912fb07105762bd3,7558a31726db5fb9d6706fcaf6f58ed8dcd565273190008124fa80bf6c77e52f,591fb04715b4737a3755b5c580d2a9cda521c0588c747ff39f7d48fa0b43cd32,True
