seed,run_id,method,learning_rate,interval_index,start_step,end_step,n_steps,layer,trace_F,oracle_signal_energy_sum,noisy_energy_sum,expected_noise_energy_sum,noise_debiased_energy_sum,beta_oracle,beta_dp_raw,beta_dp_positive,beta_dp_negative,estimated_signal_energy_positive,estimated_energy_to_noise_ratio,oracle_estimator_sd,oracle_observability_snr,conditional_variance_sum,sample_count,beta_oracle_interval,beta_dp_raw_interval,raw_positive,raw_finite,was_used_by_next_interval,next_beta_train,applied_to_training
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,0,0,49,50,conv1,0.025135765170805624,0.07046238168374681,0.212975551187909,0.13926637620897964,0.07370917497892943,2.8032718003582633,2.9324420592749747,2.9324420592749747,False,0.07370917497892943,0.5292675589389503,0.12425910761218736,22.559890000966586,9.755301163669963e-06,50,2.8032718003582633,2.9324420592749747,True,True,True,2.9324420592749747,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,1,50,99,50,conv1,0.02513072927464756,0.09386880401656038,0.2351810232873119,0.13926637620897964,0.09591464707833228,3.7352200563179565,3.8166280823013405,3.8166280823013405,False,0.09591464707833228,0.6887135982752681,0.1342655429182867,27.819647348654172,1.1385164972823902e-05,50,3.7352200563179565,3.8166280823013405,True,True,True,3.8166280823013405,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,2,100,149,50,conv1,0.02514167516554644,0.016991262966292053,0.15288473085012502,0.13926637620897964,0.013618354641145435,0.675820638617449,0.5416645689467704,0.5416645689467704,False,0.013618354641145435,0.09778637896495768,0.09768641609582361,6.918266278214814,6.0319366958599295e-06,50,0.675820638617449,0.5416645689467704,True,True,True,0.5416645689467704,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,3,150,199,50,conv1,0.02512826194293674,0.005526260269409537,0.1457467200531421,0.13926637620897964,0.006480343844162484,0.2199221053154814,0.25789065152530505,0.25789065152530505,False,0.006480343844162484,0.046532005933662766,0.09104109678931932,2.41563549832363,5.233592006449426e-06,50,0.2199221053154814,0.25789065152530505,True,True,True,0.25789065152530505,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,4,200,249,50,conv1,0.025131033515084222,0.003361435624977686,0.1422552223865137,0.13926637620897964,0.0029888461775340815,0.1337563623461835,0.11893049188526637,0.11893049188526637,False,0.0029888461775340815,0.0214613624542627,0.08971048972896468,1.4909779523625457,5.082848364770466e-06,50,0.1337563623461835,0.11893049188526637,True,True,True,0.11893049188526637,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,5,250,299,50,conv1,0.025139832563123715,0.0019881622103357466,0.14317670799283555,0.13926637620897964,0.003910331783855924,0.07908414685514159,0.15554327078501637,0.15554327078501637,False,0.003910331783855924,0.02807807519856839,0.08883150319207417,0.8902714011895634,4.987222958769811e-06,50,0.07908414685514159,0.15554327078501637,True,True,True,0.15554327078501637,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,6,300,349,50,conv1,0.02513337778501379,0.0011829986756329307,0.136717957368235,0.13926637620897964,-0.0025484188407446577,0.047068829576035504,-0.10139579576383866,0.0,True,0.0,0.0,0.08835345751634792,0.5327333063820101,4.931156854902972e-06,50,0.047068829576035504,-0.10139579576383866,False,True,True,0.15554327078501637,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,7,350,399,50,conv1,0.02513374953939107,0.000828841610497201,0.1403890998311424,0.13926637620897964,0.0011227236221627791,0.03297723681053606,0.04466996141595115,0.04466996141595115,False,0.0011227236221627791,0.008061699117308736,0.08813094589609372,0.3741845325615408,4.906495769367843e-06,50,0.03297723681053606,0.04466996141595115,True,True,True,0.04466996141595115,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,8,400,449,50,conv1,0.02513261041200976,0.0006481126092706329,0.1375928572826873,0.13926637620897964,-0.0016735189262923047,0.02578771558727257,-0.06658754895960207,0.0,True,0.0,0.0,0.08802183858890075,0.29296951742884064,4.893911032829497e-06,50,0.02578771558727257,-0.06658754895960207,False,True,True,0.04466996141595115,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,9,450,499,50,conv1,0.025134695630713542,0.00044029137125535994,0.13909656228301068,0.13926637620897964,-0.00016981392596899852,0.017517274834923498,-0.006756156050741789,0.0,True,0.0,0.0,0.0878843106657457,0.19932198015321118,4.879439777470671e-06,50,0.017517274834923498,-0.006756156050741789,False,True,True,0.04466996141595115,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,10,500,549,50,conv1,0.025132357541757244,0.00038211306208082155,0.14053060332776487,0.13926637620897964,0.0012642271187852721,0.01520402777359598,0.05030276672949473,0.05030276672949473,False,0.0012642271187852721,0.009077762724859923,0.08785599281199398,0.17305623987017987,4.875388636324321e-06,50,0.01520402777359598,0.05030276672949473,True,True,True,0.05030276672949473,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,11,550,599,50,conv1,0.02513481883569535,0.00036886407729657354,0.1378781691788666,0.13926637620897964,-0.0013882070301129883,0.014675422158711931,-0.0552304370756601,0.0,True,0.0,0.0,0.0878390775626059,0.16707167878694276,4.874466067274643e-06,50,0.014675422158711931,-0.0552304370756601,False,True,True,0.05030276672949473,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,12,600,649,50,conv1,0.0251326742141747,0.000338626015639492,0.1383286851159199,0.13926637620897964,-0.0009376910930597362,0.01347353698829664,-0.037309642621750266,0.0,True,0.0,0.0,0.08782759791071909,0.15340892045519755,4.872360494639362e-06,50,0.01347353698829664,-0.037309642621750266,False,True,True,0.05030276672949473,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,13,650,699,50,conv1,0.025130782195759843,0.00027187794777491585,0.13824303086904033,0.13926637620897964,-0.0010233453399393455,0.010818523102746403,-0.040720791416990115,0.0,True,0.0,0.0,0.08779230642849042,0.12322860097341727,4.8677126138741345e-06,50,0.010818523102746403,-0.040720791416990115,False,True,True,0.05030276672949473,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,14,700,749,50,conv1,0.025137558284592763,0.0002742451037432706,0.1391104906772749,0.13926637620897964,-0.0001558855317047637,0.010909774952619805,-0.00620129966243812,0.0,True,0.0,0.0,0.08777012712176535,0.1242994092067985,4.867877446490954e-06,50,0.010909774952619805,-0.00620129966243812,False,True,True,0.05030276672949473,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,15,750,799,50,conv1,0.025133807603559127,0.00022676379727581446,0.1418692353735147,0.13926637620897964,0.0026028591645350903,0.009022262000752448,0.10356008152805732,0.10356008152805732,False,0.0026028591645350903,0.018689788844728862,0.08775340856982998,0.10281380681780965,4.864571171746259e-06,50,0.009022262000752448,0.10356008152805732,True,True,True,0.10356008152805732,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,16,800,849,50,conv1,0.025135337669150715,0.00019285010979256523,0.14194933331071843,0.13926637620897964,0.002682957101738757,0.007672469426549834,0.10674044395399641,0.10674044395399641,False,0.002682957101738757,0.019264930809239366,0.08772676540478877,0.08745870644338447,4.862209653566419e-06,50,0.007672469426549834,0.10674044395399641,True,True,True,0.10674044395399641,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,17,850,899,50,conv1,0.02513945436065125,0.0001742635874666797,0.13840021015954818,0.13926637620897964,-0.0008661660494314327,0.006931876283657149,-0.034454449050699054,0.0,True,0.0,0.0,0.08770072521448034,0.07904012496230554,4.860915414761093e-06,50,0.006931876283657149,-0.034454449050699054,False,True,True,0.10674044395399641,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,18,900,949,50,conv1,0.025140021919440106,0.0001613281399251793,0.13715733619517376,0.13926637620897964,-0.0021090400138059013,0.006417183741611162,-0.08389173329141121,0.0,True,0.0,0.0,0.08769061954628121,0.07317981982164198,4.86001467830922e-06,50,0.006417183741611162,-0.08389173329141121,False,True,True,0.10674044395399641,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,19,950,999,50,conv1,0.025138778279968493,0.00014885824247627523,0.14204191515391804,0.13926637620897964,0.0027755389449384093,0.005921458903788136,0.11040866481367796,0.11040866481367796,False,0.0027755389449384093,0.01992971326225632,0.087687123287752,0.06752940088403403,4.859146359594516e-06,50,0.005921458903788136,0.11040866481367796,True,True,True,0.11040866481367796,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,20,1000,1049,50,conv1,0.025134175784091023,0.0001357059535628829,0.13849784760347955,0.13926637620897964,-0.0007685286055000803,0.005399260143982107,-0.030577036307135628,0.0,True,0.0,0.0,0.08769491490232047,0.06156867986395436,4.858230523786605e-06,50,0.005399260143982107,-0.030577036307135628,False,True,True,0.11040866481367796,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,21,1050,1099,50,conv1,0.025137163493000117,0.00012513617301477154,0.1401105501662029,0.13926637620897964,0.0008441739572233394,0.004978134189627954,0.033582705441622895,0.033582705441622895,False,0.0008441739572233394,0.006061577677231519,0.08767784959205006,0.05677755796171561,4.8574945162694764e-06,50,0.004978134189627954,0.033582705441622895,True,True,True,0.033582705441622895,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,22,1100,1149,50,conv1,0.025142916389215425,0.00014015837655808526,0.14090876880679964,0.13926637620897964,0.0016423925978200126,0.0055744677502170565,0.06532227894312553,0.06532227894312553,False,0.0016423925978200126,0.011793173934128121,0.08766722609947672,0.06358667880218932,4.858540560194552e-06,50,0.0055744677502170565,0.06532227894312553,True,True,True,0.06532227894312553,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,23,1150,1169,20,conv1,0.010057092311388516,5.310305016536212e-05,0.05345267842875497,0.055706550483591855,-0.0022538720548368916,0.005280159366264237,-0.22410772269482276,0.0,True,0.0,0.0,0.13860772705287028,0.038094264109369336,1.9432100889191913e-06,20,0.005280159366264237,-0.22410772269482276,False,True,False,,False
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,0,0,49,50,conv2,0.2092019708089976,0.13875207265505732,4.192306877978985,4.0387249100604095,0.1535819679185761,0.6632445770873671,0.7341325099599427,0.7341325099599427,False,0.1535819679185761,0.03802734064307461,0.058597570788049336,11.31863604771408,0.00015027639485734,50,0.6632445770873671,0.7341325099599427,True,True,True,0.7341325099599427,True
456,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,dp_fisher_wiener_adaptive_beta,0.001,1,50,99,50,conv2,0.2430802544301225,0.09717189427875533,4.148165668686675,4.0387249100604095,0.10944075862626611,0.3997523143398265,0.4502247987309339,0.4502247987309339,False,0.10944075862626611,0.02709784921315724,0.04994259656666993,8.004235698310394,0.0001473810344750448,50,0.3997523143398265,0.4502247987309339,True,True,True,0.4502247987309339,True
