seed,run_id,method,learning_rate,config_fingerprint,refresh_step,interval_index,layer,beta_train,beta_source_interval,beta_raw_previous,beta_update_accepted,beta_fallback_used,beta_fallback_reason,previous_beta_train,numerator_previous,denominator_previous,previous_interval_n_steps,accepted_update_count,fallback_count,trace_A,trace_G,trace_F,beta_scaled_trace_F,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,H_beta1_mean,H_beta1_q10,H_beta1_q50,H_beta1_q90,H_fro_ratio_vs_beta1,H_hash,H_hash_copy,H_beta1_hash,H_beta1_hash_copy,H_stats_digest,H_beta1_stats_digest,beta_algorithm_active
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,0,conv1,1.0,,,False,False,initial,1.0,,,0,0,0,3.141967296600342,0.00016000017058104277,0.0005027153034161125,0.0005027153034161125,0.1276057987124659,0.13254656488341246,0.02396935597062111,0.4019595980644226,0.033527367003262046,0.034662227146327496,0.05729011818766594,0.1262633204460144,0.3685660660266874,0.1276057987124659,0.033527367003262046,0.05729011818766594,0.3685660660266874,0.9999999999995702,27ae0bb9e9004c9c4378d262d09beb188483c1b8115b6a039db58a74bb9bf35e,27ae0bb9e9004c9c4378d262d09beb188483c1b8115b6a039db58a74bb9bf35e,27ae0bb9e9004c9c4378d262d09beb188483c1b8115b6a039db58a74bb9bf35e,27ae0bb9e9004c9c4378d262d09beb188483c1b8115b6a039db58a74bb9bf35e,f67c447bc32774a1a31fcb6fe5afdedd21c7a3271f824a616a1ec1a3ef182311,56b1871a8dbbb6cfdeeabb9af82e52d60d909f06592ac8ec1b221854189afa3a,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,0,conv2,1.0,,,False,False,initial,1.0,,,0,0,0,13.0750093460083,0.0003200027858838439,0.004184039416179952,0.004184039416179952,0.02038363775426315,0.07919438507916275,0.0007553300820291042,0.8334209322929382,0.0009425748721696436,0.0015327091387007385,0.003250325098633766,0.008155188523232937,0.03566944971680641,0.02038363775426315,0.0009425748721696436,0.003250325098633766,0.03566944971680641,0.9999999999998205,89dfa30f2e55d0547c262929fdecd0da5d605ae2bec11c96aedd06d86ff45393,89dfa30f2e55d0547c262929fdecd0da5d605ae2bec11c96aedd06d86ff45393,89dfa30f2e55d0547c262929fdecd0da5d605ae2bec11c96aedd06d86ff45393,89dfa30f2e55d0547c262929fdecd0da5d605ae2bec11c96aedd06d86ff45393,0e4c1a100a4b9e1d94388b49ec65bdde7f84b23f31a7679f47678177890c8c90,28af270e67eb8cff378bbb925c94b121b3eb07526e0191174ba55b4274e4d591,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,0,fc1,1.0,,,False,False,initial,1.0,,,0,0,0,40.478214263916016,0.0012822934659197927,0.051904949662720856,0.051904949662720856,0.002671026961484712,0.025373126086055207,4.717825959232869e-06,0.9538115859031677,4.5468987809726966e-05,0.00017227910575456917,0.0005424034898169339,0.00135288224555552,0.0028578196186572315,0.002671026961484712,4.5468987809726966e-05,0.0005424034898169339,0.0028578196186572315,0.9999999999999125,77dd84c97d41a94e520e643c89a2ef418eef3d1726c5fae335df8fcb71a6acee,77dd84c97d41a94e520e643c89a2ef418eef3d1726c5fae335df8fcb71a6acee,77dd84c97d41a94e520e643c89a2ef418eef3d1726c5fae335df8fcb71a6acee,77dd84c97d41a94e520e643c89a2ef418eef3d1726c5fae335df8fcb71a6acee,0858659cd229453d255dde681f3eefdbd49491beec69e784a65fecb258400cd4,bc33ab08951db87c623e19c7442f65f8d8761e65a31c02d035e28dc98343776b,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,0,0,fc2,1.0,,,False,False,initial,1.0,,,0,0,0,1.6148760318756104,0.00011374336463632062,0.00018368143333608207,0.00018368143333608207,0.004255174136214073,0.043985676162686595,5.737798346672207e-06,0.5102391242980957,6.6187838910991555e-06,1.1086057838838315e-05,0.00018459638522472233,0.0005123249429743737,0.0009632677305489782,0.004255174136214073,6.6187838910991555e-06,0.00018459638522472233,0.0009632677305489782,0.99999999999937,f4995627a67ca7b782900c8e3ac26859e519b60c32d1174276d6934d99dc120e,f4995627a67ca7b782900c8e3ac26859e519b60c32d1174276d6934d99dc120e,f4995627a67ca7b782900c8e3ac26859e519b60c32d1174276d6934d99dc120e,f4995627a67ca7b782900c8e3ac26859e519b60c32d1174276d6934d99dc120e,656f0a30dff9b51158d58fa35bd0a40d5f58c7598ec2f75b9b5857c881530096,b2e232efbe41c6f4d82beceb833037ffe029f62e63acc7de5e5e10b14b7f7a24,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,50,1,conv1,1.0,,2.7269901312569944,False,False,none,1.0,0.06854498356238022,0.025135765170805624,50,0,0,3.1413280963897705,0.000160000694449991,0.0005026146769176315,0.0005026146769176315,0.12766141832107678,0.13236175666424,0.02410101518034935,0.40136900544166565,0.033683441579341895,0.03483222983777523,0.057459961622953415,0.12626633048057556,0.3685087293386457,0.12766141832107678,0.033683441579341895,0.057459961622953415,0.3685087293386457,0.99999999999957,e4437b2ceb17d8e898c5844903b9483bd1e8aba57c49fbe524f22caea2b4263e,e4437b2ceb17d8e898c5844903b9483bd1e8aba57c49fbe524f22caea2b4263e,e4437b2ceb17d8e898c5844903b9483bd1e8aba57c49fbe524f22caea2b4263e,e4437b2ceb17d8e898c5844903b9483bd1e8aba57c49fbe524f22caea2b4263e,649bfb8d87b2bb337f10b47e4f8a29d27ae27540b22f26efaa537ddd8d6fe160,08e3c3c80ae305f2ac81a2dd9cbb60cc866b4a9245faccd521604ce3876e703e,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,50,1,conv2,1.0,,0.6615394370809844,False,False,none,1.0,0.1383953540052168,0.2092019708089976,50,0,0,15.274262428283691,0.000320008781272918,0.004887898104517785,0.004887898104517785,0.023151437673431214,0.0857295295206699,0.0008296829764731228,0.8483257293701172,0.0011408538324758411,0.0016059766639955342,0.003486788831651211,0.008843466406688094,0.042398632317781446,0.023151437673431214,0.0011408538324758411,0.003486788831651211,0.042398632317781446,0.9999999999998347,5871ba519a39e934158afce49e48bf0683cad5a5739bd02f9384e093cb5c997e,5871ba519a39e934158afce49e48bf0683cad5a5739bd02f9384e093cb5c997e,5871ba519a39e934158afce49e48bf0683cad5a5739bd02f9384e093cb5c997e,5871ba519a39e934158afce49e48bf0683cad5a5739bd02f9384e093cb5c997e,bf982b6604060df8f903e253d478be8184dc52eb2eab1d896baa8db800cd70fb,e7c8d57ba0320bf73bad72231092d4507dec8546b097b329d047210fa845703c,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,50,1,fc1,1.0,,0.18087851778507352,False,False,none,1.0,0.46942451803509,2.595247483136043,50,0,0,206.15426635742188,0.0012837760150432587,0.2646559025484976,0.2646559025484976,0.008187031006877076,0.04915658040992021,6.5272288338746876e-06,0.9907507300376892,0.00014862146053928882,0.0003520474201650359,0.0009902046294882894,0.002523127943277359,0.006108399946242571,0.008187031006877076,0.00014862146053928882,0.0009902046294882894,0.006108399946242571,0.9999999999999553,8bf6a7afba0f2934235fd2febb9b095cb36c80e0de403bc798bcc7213aec32e2,8bf6a7afba0f2934235fd2febb9b095cb36c80e0de403bc798bcc7213aec32e2,8bf6a7afba0f2934235fd2febb9b095cb36c80e0de403bc798bcc7213aec32e2,8bf6a7afba0f2934235fd2febb9b095cb36c80e0de403bc798bcc7213aec32e2,d18319f4d5b209d68e9fc843584aa6ffbd213c1f0e703f796c9f687091df8390,e3d06904891eaf16a765be5468aeac67e64303b419c9f169af8420a7c3b5ca91,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,50,1,fc2,1.0,,11.485574574836608,False,False,none,1.0,0.10548434002972248,0.009184071666804104,50,0,0,21.549205780029297,0.00011380527575965971,0.002452413306197887,0.002452413306197887,0.01249648010354238,0.08257485601103924,5.715904535463778e-06,0.9320089817047119,6.643520464422181e-06,5.3792630751559045e-05,0.0009571977716404945,0.0025318021653220057,0.010853058937937225,0.01249648010354238,6.643520464422181e-06,0.0009571977716404945,0.010853058937937225,0.9999999999996666,64e501bbd0fe60c5b02760c4224dbba5fa677ddcd434a6fd5bc0f7e14ff68473,64e501bbd0fe60c5b02760c4224dbba5fa677ddcd434a6fd5bc0f7e14ff68473,64e501bbd0fe60c5b02760c4224dbba5fa677ddcd434a6fd5bc0f7e14ff68473,64e501bbd0fe60c5b02760c4224dbba5fa677ddcd434a6fd5bc0f7e14ff68473,df84d3cc0db55269cac57e5c684edbea5b5b2a6ea4e63e713762e0c90c0e706e,80c3b6b0858cf6db3c9a3c1b04c5d9a74a359685f3cc19bca7417a2d45f53c24,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,100,2,conv1,1.0,,3.215857381651469,False,False,none,1.0,0.08081685594459667,0.025130733845881575,50,0,0,3.142642021179199,0.00016000407049432397,0.0005028355154951814,0.0005028355154951814,0.12771098294761032,0.13236936152469256,0.024214787408709526,0.4015432894229889,0.03380516208708287,0.034901756793260574,0.057496702298521996,0.12627245858311653,0.3685511887073515,0.12771098294761032,0.03380516208708287,0.057496702298521996,0.3685511887073515,0.9999999999995701,53da179b3efa053c43f7f3917c7f41f776ef3230885343ddd345e5faaa437092,53da179b3efa053c43f7f3917c7f41f776ef3230885343ddd345e5faaa437092,53da179b3efa053c43f7f3917c7f41f776ef3230885343ddd345e5faaa437092,53da179b3efa053c43f7f3917c7f41f776ef3230885343ddd345e5faaa437092,af8e2f6cbefbe6fc7a3741dfd346807e1712539d52db1617b39e8d94d47931a4,9561207779359497c7100a12fe6a678fbaaa1081b562bcde85b8d64953c945c8,False
456,dp_fisher_wiener_beta1_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,e26fe49698c962feabd173bb549a01a7bb961c05b301e53a307778215cd862ec,100,2,conv2,1.0,,0.3648239001527302,False,False,none,1.0,0.08916110250196578,0.24439490522588925,50,0,0,19.89072608947754,0.00032002298394218087,0.006365489515931189,0.006365489515931189,0.027063261979216397,0.09599685657266066,0.0009063802426680923,0.8779409527778625,0.0012566807796247303,0.0018611647828947753,0.003887863247655332,0.009614805458113551,0.04818527586758137,0.027063261979216397,0.0012566807796247303,0.003887863247655332,0.04818527586758137,0.9999999999998528,f18f167be4109aa19c1a56ed80f2d57fce44afddf55e5a9f6f62cc47cf6c8bfd,f18f167be4109aa19c1a56ed80f2d57fce44afddf55e5a9f6f62cc47cf6c8bfd,f18f167be4109aa19c1a56ed80f2d57fce44afddf55e5a9f6f62cc47cf6c8bfd,f18f167be4109aa19c1a56ed80f2d57fce44afddf55e5a9f6f62cc47cf6c8bfd,8a8f98a236a91a0c0c8bd644752d574d0e4bc31caed1d082ee8954f3a532c6ce,bf974b036e71b172092ba70142f8943bc4dba361137bf598ce172d21fdd824e6,False
