seed,family,alpha,run_id,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,beta1,0.0,dp_adam,0.8951383177570092,0.9201,0.9118714285714284,0.46072650899887085,100.0,100.0,200.0,200.0,600.0
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,0.8934004672897197,0.9151,0.9086571428571428,0.493069369328022,100.0,100.0,200.0,200.0,700.0
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,0.8909630841121494,0.9113,0.9058999999999999,0.5387303305625916,100.0,100.0,200.0,200.0,700.0
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,0.8868878504672896,0.9032,0.9007428571428572,0.6393373648405075,100.0,100.0,200.0,200.0,900.0
123,beta1,1.0,dp_fisher_wiener_beta1_adam,0.8691397196261682,0.8838,0.8813428571428572,0.8867341240882873,100.0,100.0,200.0,300.0,
123,adaptive_beta,0.0,dp_adam,0.8951383177570092,0.9201,0.9118714285714284,0.46072650899887085,100.0,100.0,200.0,200.0,600.0
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,0.8929995327102805,0.9163,0.9089142857142857,0.4821087217271328,100.0,100.0,200.0,200.0,700.0
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,0.8893621495327102,0.9126,0.9046714285714286,0.510911665570736,100.0,100.0,200.0,200.0,800.0
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,0.879977570093458,0.9006,0.8958142857142857,0.5793845418214798,100.0,100.0,200.0,300.0,1000.0
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,0.7648897196261684,0.7694,0.7691285714285714,1.189057409286499,100.0,100.0,,,
456,beta1,0.0,dp_adam,0.8983369158878506,0.9246,0.9169857142857143,0.41635174882411957,100.0,100.0,200.0,200.0,500.0
456,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,0.8963565420560747,0.9227,0.9141285714285715,0.43608317177295686,100.0,100.0,200.0,200.0,600.0
456,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,0.8937060747663552,0.9195,0.9106142857142857,0.4689223438739777,100.0,100.0,200.0,200.0,600.0
456,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,0.8872285046728973,0.9132,0.9036571428571428,0.5470774621009826,100.0,100.0,200.0,200.0,800.0
456,beta1,1.0,dp_fisher_wiener_beta1_adam,0.8587789719626169,0.8888,0.8789571428571429,0.8259162950515747,100.0,100.0,200.0,400.0,
456,adaptive_beta,0.0,dp_adam,0.8983369158878506,0.9246,0.9169857142857143,0.41635174882411957,100.0,100.0,200.0,200.0,500.0
456,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,0.8962070093457942,0.9223,0.9146857142857143,0.4299549646615982,100.0,100.0,200.0,200.0,600.0
456,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,0.8918957943925234,0.9187,0.910557142857143,0.453378804564476,100.0,100.0,200.0,200.0,600.0
456,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,0.88365,0.9117,0.903042857142857,0.5042332964301109,100.0,100.0,200.0,300.0,900.0
456,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,0.6897084112149533,0.7388,0.7094000000000001,1.0806072452545166,100.0,700.0,,,
mean,adaptive_beta,0.0,,0.8967376168224299,0.92235,0.9144285714285714,0.4385391289114952,100.0,100.0,200.0,200.0,550.0
mean,adaptive_beta,0.25,,0.8946032710280374,0.9193,0.9117999999999999,0.4560318431943655,100.0,100.0,200.0,200.0,650.0
mean,adaptive_beta,0.5,,0.8906289719626168,0.91565,0.9076142857142857,0.482145235067606,100.0,100.0,200.0,200.0,700.0
mean,adaptive_beta,0.75,,0.881813785046729,0.90615,0.8994285714285714,0.5418089191257953,100.0,100.0,200.0,300.0,950.0
mean,adaptive_beta,1.0,,0.7272990654205609,0.7541,0.7392642857142857,1.1348323272705079,100.0,400.0,,,
mean,beta1,0.0,,0.8967376168224299,0.92235,0.9144285714285714,0.4385391289114952,100.0,100.0,200.0,200.0,550.0
mean,beta1,0.25,,0.8948785046728972,0.9189,0.9113928571428571,0.46457627055048945,100.0,100.0,200.0,200.0,650.0
mean,beta1,0.5,,0.8923345794392523,0.9154,0.9082571428571429,0.5038263372182846,100.0,100.0,200.0,200.0,650.0
mean,beta1,0.75,,0.8870581775700934,0.9082,0.9022,0.593207413470745,100.0,100.0,200.0,200.0,850.0
mean,beta1,1.0,,0.8639593457943926,0.8863000000000001,0.88015,0.856325209569931,100.0,100.0,200.0,350.0,
