seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,,,,,
123,0.25,0.0,0.0,0.0,-8.45491886138916e-05,,,,,
123,0.5,0.0,0.0,0.0,-7.12275505065918e-06,,,,,
123,0.75,0.0,0.0,0.0,-0.00046539306640625,,,,,
123,1.0,0.0,0.0,0.0,0.04245394468307495,,,,,
mean,0.0,0.0,0.0,0.0,0.0,,,,,
mean,0.25,0.0,0.0,0.0,-8.45491886138916e-05,,,,,
mean,0.5,0.0,0.0,0.0,-7.12275505065918e-06,,,,,
mean,0.75,0.0,0.0,0.0,-0.00046539306640625,,,,,
mean,1.0,0.0,0.0,0.0,0.04245394468307495,,,,,
