seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,,,,,
123,0.25,0.0,0.0,0.0,-3.606081008911133e-06,,,,,
123,0.5,0.0,0.0,0.0,0.00023660063743591309,,,,,
123,0.75,0.0,0.0,0.0,0.00025388598442077637,,,,,
123,1.0,0.0,0.0,0.0,0.08555302023887634,,,,,
mean,0.0,0.0,0.0,0.0,0.0,,,,,
mean,0.25,0.0,0.0,0.0,-3.606081008911133e-06,,,,,
mean,0.5,0.0,0.0,0.0,0.00023660063743591309,,,,,
mean,0.75,0.0,0.0,0.0,0.00025388598442077637,,,,,
mean,1.0,0.0,0.0,0.0,0.08555302023887634,,,,,
