seed,run_id,method,learning_rate,config_fingerprint,step,layer,r,dimension,trace_A,trace_G,trace_F,clean_signal_energy,noisy_gradient_energy,expected_noise_energy,noise_debiased_energy_raw,beta_oracle_step,beta_dp_step_raw,beta_dp_step_positive,beta_dp_step_negative,refresh_index,active_beta_train,active_beta_source_interval,diagnostic_valid,oracle_diagnostic_error,dp_observation_recorded,optimizer_step_completed
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,0,conv1,0.4673004150390625,160,3.145082712173462,0.00016064656665548682,0.0005052467395581933,0.000865365074064661,75.20088330050125,74.76806640625,0.43281689425124625,1.7127573644935712,856.6446062169892,856.6446062169892,False,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,0,conv2,0.4673004150390625,4640,13.749959945678711,0.0003325188299641013,0.004572120593190343,0.015027423030473544,2088.4783976909994,2168.27392578125,-79.79552809025063,3.2867512403008776,-17452.62979482585,0.0,True,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,0,fc1,0.4673004150390625,200832,44.63505554199219,0.011986402794718742,0.5350137544909614,0.16980362248298908,93696.83106864413,93848.876953125,-152.04588448087452,0.31738178889353724,-284.19060856769653,0.0,True,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,0,fc2,0.4673004150390625,1290,1.681693196296692,0.05634273216128349,0.09475118933639726,0.020703798295966604,596.3877706264808,602.8175354003906,-6.429764773909824,0.21850700176924903,-67.8594624399076,0.0,True,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,1,conv1,0.4673004150390625,160,3.145082712173462,0.00016064656665548682,0.0005052467395581933,0.0006141520310217528,75.48424543857769,74.76806640625,0.7161790323276875,1.2155487268632161,1417.48372874992,1417.48372874992,False,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,1,conv2,0.4673004150390625,4640,13.749959945678711,0.0003325188299641013,0.004572120593190343,0.018593221195194957,2164.797922034753,2168.27392578125,-3.476003746497099,4.0666515277150515,-760.2607314588802,0.0,True,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,1,fc1,0.4673004150390625,200832,44.63505554199219,0.011986402794718742,0.5350137544909614,0.25443433723651526,94114.32063042594,93848.876953125,265.44367730093654,0.47556597396004646,496.1436506496787,496.1436506496787,False,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,1,fc2,0.4673004150390625,1290,1.681693196296692,0.05634273216128349,0.09475118933639726,0.02701338544885927,595.5840578779976,602.8175354003906,-7.233477522393059,0.2850981147366187,-76.34181241474323,0.0,True,0,1.0,,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,2,conv1,0.4673004150390625,160,3.1313278675079346,0.0001605976722203195,0.0005028839664803914,0.0005702966507025347,92.00930495358358,74.76806640625,17.24123854733358,1.1340521645459378,34284.72509871889,34284.72509871889,False,1,1137.0641674834546,0,True,,True,True
123,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,dp_fisher_wiener_adaptive_beta,0.001,92d3be7600d7c4100d9f889c52616394ac78d528f4374cddca5cd5f7e7f9f6e7,2,conv2,0.4673004150390625,4640,13.853633880615234,0.00033171678660437465,0.004595482913671178,0.013193873225771119,2266.052590748554,2168.27392578125,97.77866496730394,2.871052612668942,21277.125125723036,21277.125125723036,False,1,1.0,0,True,,True,True
